Hinf,Tw,leading_real,leading_imag,unstable_count_class,fold_sample
-0.6527616218994755,1.0437387247742465,-0.041430903786184435,0.0,0,0
-0.6327616218994755,1.0451214444582302,-0.033599337357481586,0.0,0,0
-0.6127616218994755,1.0462125050033337,-0.02613166710802391,0.0,0,0
-0.5927616218994756,1.0470302243686225,-0.01903424256289946,0.0,0,0
-0.5727616218994755,1.0475925982307268,-0.012311435935789643,0.0,0,0
-0.5627616218994755,1.0477835680734782,-0.009091460136392393,0.0,0,0
-0.5527616218994755,1.047917308097179,-0.00596611808336717,0.0,0,0
-0.5477616218994755,1.047963393523712,-0.004438993279631737,0.0,0,0
-0.5427616218994755,1.047995981124778,-0.0029355901332422086,0.0,0,0
-0.5402616218994755,1.0480072968842264,-0.0021927885343747044,0.0,0,0
-0.5377616218994755,1.0480153384210218,-0.0014559221496620119,0.0,0,0
-0.5352616218994755,1.048020139003146,-0.0007249924089715141,0.0,0,0
-0.5327616218994755,1.048021731830805,-2.7032341307918406e-11,0.0,0,1
-0.5302616218994756,1.0480201500370265,0.0007190537726513504,0.0,1,0
-0.5277616218994755,1.0480154266882629,0.0014321683946201646,0.0,1,0
-0.5252616218994756,1.0480075947850398,0.0021393435905408204,0.0,1,0
-0.5227616218994755,1.0479966872625999,0.002840578871583446,0.0,1,0
-0.5177616218994755,1.0479657767787636,0.004225228818603955,0.0,1,0
-0.5127616218994755,1.047922957439546,0.005586119011621034,0.0,1,0
-0.5027616218994755,1.0478026360391217,0.008236634093436394,0.0,1,0
-0.49276162189947553,1.0476378011818164,0.010792175047839248,0.0,1,0
-0.4727616218994755,1.0471828313034508,0.015618705135354965,0.0,1,0
-0.4527616218994755,1.0465743990158962,0.020066748971278126,0.0,1,0
