fold,pressure_gradient,pressure_offset,Tw,leading_real,leading_imag,positive_real_count,fold_sample,collocation_order
maximum,0.010335420160491526,0.0012,1.1674488767110143,-0.0007762827254543046,0.0,0,0,101
maximum,0.010035420160491526,0.0009,1.1675453584554993,-0.0005893340256408659,0.0,0,0,101
maximum,0.009835420160491526,0.0007,1.1675958768429369,-0.0004619832251939558,0.0,0,0,101
maximum,0.009635420160491527,0.0005,1.1676346878126875,-0.0003325102406857894,0.0,0,0,101
maximum,0.009485420160491526,0.00035,1.1676557527880156,-0.00023404998955328278,0.0,0,0,101
maximum,0.009375420160491527,0.00024,1.1676666482865503,-0.0001611282482866899,0.0,0,0,101
maximum,0.009295420160491527,0.00016,1.1676720839320949,-0.00010772246152539303,0.0,0,0,101
maximum,0.009215420160491527,8e-05,1.1676753768044994,-5.401073732982028e-05,0.0,0,0,101
maximum,0.009135420160491526,0.0,1.1676764840782305,-2.187531473794973e-11,0.0,0,1,101
maximum,0.009055420160491526,-8e-05,1.1676753621414286,5.4302177787609236e-05,0.0,1,0,101
maximum,0.008975420160491526,-0.00016,1.1676719666115303,0.00010888777068806673,0.0,1,0,101
maximum,0.008895420160491526,-0.00024,1.1676662523021344,0.0001637480577153615,0.0,1,0,101
maximum,0.008785420160491527,-0.00035,1.1676545245394183,0.00023961222367467456,0.0,1,0,101
maximum,0.008635420160491526,-0.0005,1.1676311063142257,0.0003438238043616529,0.0,1,0,101
maximum,0.008435420160491527,-0.0007,1.167586046172354,0.0004840173145416185,0.0,1,0,101
maximum,0.008235420160491527,-0.0009,1.1675244563265135,0.0006254466068379589,0.0,1,0,101
maximum,0.007935420160491527,-0.0012,1.1673992924497671,0.000839385512389622,0.0,1,0,101
minimum,0.0028923647891298337,0.0007,1.1569801325761764,0.0020741395734004482,0.0,1,0,101
minimum,0.0027423647891298337,0.00055,1.1565192556818047,0.0017881655293897226,0.0,1,0,101
minimum,0.0025923647891298337,0.0004,1.1561089465428573,0.0014326506152039398,0.0,1,0,101
minimum,0.0024923647891298335,0.0003,1.155876884369406,0.001149093594401476,0.0,1,0,101
minimum,0.0024123647891298337,0.00022,1.1557235980173284,0.0008906935461943309,0.0,1,0,101
minimum,0.0023423647891298335,0.00015,1.1556190665116357,0.0006383649287927278,0.0,1,0,101
minimum,0.0022923647891298334,0.0001,1.1555646358332845,0.00044140757200905877,0.0,1,0,101
minimum,0.0022423647891298337,5e-05,1.155529846971769,0.00022909523218557482,0.0,1,0,101
minimum,0.0022223647891298336,3e-05,1.1555220555691201,0.00013955667149178662,0.0,1,0,101
minimum,0.0022123647891298336,2e-05,1.155519570127949,9.375002458255599e-05,0.0,1,0,101
minimum,0.0022023647891298336,1e-05,1.155518058867777,4.723479108923035e-05,0.0,1,0,101
minimum,0.0021923647891298336,0.0,1.1555175490423866,-2.4044150024733783e-09,0.0,0,1,101
minimum,0.0021823647891298335,-1e-05,1.1555180683281452,-4.797520336046192e-05,0.0,0,0,101
minimum,0.0021723647891298335,-2e-05,1.155519645205143,-9.669761081668362e-05,0.0,0,0,101
minimum,0.0021623647891298335,-3e-05,1.155522308984347,-0.00014618400898480346,0.0,0,0,101
minimum,0.0021423647891298334,-5e-05,1.1555310183548113,-0.0002475081618181908,0.0,0,0,101
minimum,0.0020923647891298337,-0.0001,1.1555740383334467,-0.0005152742663715827,0.0,0,0,101
minimum,0.0020423647891298336,-0.00015,1.1556509886629915,-0.00080542671545528,0.0,0,0,101
minimum,0.0019723647891298334,-0.00022,1.1558255664649375,-0.0012540024320321153,0.0,0,0,101
minimum,0.0018923647891298336,-0.0003,1.1561406991376522,-0.001836894638958643,0.0,0,0,101
minimum,0.0017923647891298336,-0.0004,1.1567561699488613,-0.0026944239649002426,0.0,0,0,101
minimum,0.0016423647891298334,-0.00055,1.1583275571130434,-0.0043457727480113685,0.0,0,0,101
minimum,0.0014923647891298335,-0.0007,1.161095624707764,-0.006691227828464401,0.0,0,0,101
