253.0 + 0.0im	0.089 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.09 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.091 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.092 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.093 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.094 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.095 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.096 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.097 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.098 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.099 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.1 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.101 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.102 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.103 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.104 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.105 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.106 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.107 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.108 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.109 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.11 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.111 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.112 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.113 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.114 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.115 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.116 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.117 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.118 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.119 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.12 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.121 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.122 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.123 + 0.0im	1.0 + 1.0im
253.0 + 0.0im	0.124 + 0.0im	1.0 + 1.0im
