mode	quantity	Tw_start	Tw_end	blackburn_start	blackburn_end	blackburn_change_percent	compressible_start	compressible_end	compressible_change_percent	change_magnitude_error_percent
Type-I	R_c	1.0	1.8	286.04926038607937	121.72138236617388	-57.44740531687196	286.70753030169317	221.22833459797423	-22.83832434914328	151.53949317226042
Type-I	beta_c	1.0	1.8	0.07746975052505223	0.03381492064165408	-56.35080736355413	0.07698149700239212	0.03889532852572292	-49.47444510657634	13.898816332684364
Type-II	R_c	1.0	1.12	451.4360078261751	421.29654943957604	-6.676352321059031	454.8947408451839	430.0393571238435	-5.463985728909431	22.18831915565013
Type-II	beta_c	1.0	1.12	0.046386047681828156	0.04314149297304503	-6.99467807871501	0.046083540188272556	0.04209713209434037	-8.650394647732936	-19.140358751746085
