Tw	linear_density_ratio	ideal_gas_density_ratio	linear_density_relative_error_percent
1.0	1.0	1.0	-0.0
1.04	0.96	0.9615384615384615	-0.16000000000000028
1.08	0.9199999999999999	0.9259259259259258	-0.6400000000000011
1.12	0.8799999999999999	0.8928571428571428	-1.4400000000000026
1.16	0.8400000000000001	0.8620689655172414	-2.5599999999999974
1.2	0.8	0.8333333333333334	-3.9999999999999982
1.4	0.6000000000000001	0.7142857142857143	-15.999999999999993
1.6	0.3999999999999999	0.625	-36.00000000000001
1.8	0.19999999999999996	0.5555555555555556	-64.00000000000001
