Tw,relative_L2_H,max_abs_H,relative_L2_F,max_abs_F,relative_L2_G,max_abs_G,relative_L2_T,max_abs_T
1.0,7.695887634925179e-18,2.220446049250313e-16,2.1139684563148194e-18,3.469446951953614e-18,8.989774868668667e-19,5.551115123125783e-17,0.0,0.0
1.01,0.03847286988863412,0.03385230141603335,0.028249476901332185,0.003532568973092398,0.0010685825565778162,0.003936862859641899,2.1728518425095536e-05,7.12119071957229e-05
1.02,0.08728053083221303,0.07369982040921597,0.061308474577461754,0.007252678588655304,0.0023040041264704506,0.008389205556310397,9.322294401602107e-05,0.0003022495995732566
1.03,0.1541937760072266,0.12343754757895486,0.1017849177700601,0.01126766619785799,0.0037903714518060126,0.013593322999382873,0.00022906106081589848,0.0007323073853209294
1.04,0.262865024881672,0.19431531670725555,0.15664099688621552,0.015907233332817558,0.005749003258865207,0.020157136092239902,0.00046201358283158486,0.0014462280482345768
1.045,0.36654351845977606,0.25292548406418536,0.1982249156858637,0.018940922665000325,0.00717818791263612,0.024683077057068736,0.0006491735209280039,0.001995295144189946
1.048,0.5608802450171985,0.34572774532350614,0.25467740721333687,0.022623852942303162,0.008990775442522116,0.029940253158952768,0.0008702887438393159,0.002595838420391905
