0.000000000000000000e+00 1.256523164555930846e-25 0.000000000000000000e+00 0.000000000000000000e+00 -9.598972914668812972e-01 9.796829896203839150e-01
1.500075003750187463e-03 2.157780460973820826e-06 -1.437713902992604920e-03 1.469596798850807432e-03 -9.569595251105084133e-01 9.796806594287829073e-01
3.000150007500374926e-03 8.622311234370390041e-06 -2.871024506771486118e-03 2.939186612604930207e-03 -9.540265191827431712e-01 9.796736792120386284e-01
4.500225011250562172e-03 1.938039247306651167e-05 -4.299938951345818640e-03 4.408762477515771813e-03 -9.510982723594778587e-01 9.796620644840808856e-01
6.000300015000749852e-03 3.441884574804397393e-05 -5.724464374724466155e-03 5.878317453085652421e-03 -9.481747832978786317e-01 9.796458307279917177e-01
7.500375018750937532e-03 5.372451404234620804e-05 -7.144607912887934384e-03 7.347844622019562670e-03 -9.452560506364546811e-01 9.796249933960420320e-01
9.000450022501124345e-03 7.728426174495100435e-05 -8.560376699760443783e-03 8.817337090178969938e-03 -9.423420729951283992e-01 9.795995679097290187e-01
1.050052502625131202e-02 1.050849746445596110e-04 -9.971777867182096342e-03 1.028678798653569378e-02 -9.394328489753043243e-01 9.795695696598138991e-01
1.200060003000149970e-02 1.371135599233023442e-04 -1.137881854488115296e-02 1.175619046312580823e-02 -9.365283771599393070e-01 9.795350140063582289e-01
1.350067503375168738e-02 1.733569461503613716e-04 -1.278150586044640713e-02 1.322553769500364046e-02 -9.336286561136104556e-01 9.794959162787619800e-01
1.500075003750187506e-02 2.138020832755106976e-04 -1.417984693929966698e-02 1.469482288019578406e-02 -9.307336843825853023e-01 9.794522917758000657e-01
1.650082504125206101e-02 2.584359426225735852e-04 -1.557384890466834496e-02 1.616403923965520004e-02 -9.278434604948900821e-01 9.794041557656598673e-01
1.800090004500224869e-02 3.072455168827983255e-04 -1.696351887755814802e-02 1.763318001721535938e-02 -9.249579829603783443e-01 9.793515234859778706e-01
1.950097504875243637e-02 3.602178201081517148e-04 -1.834886397672585642e-02 1.910223847954443596e-02 -9.220772502708001195e-01 9.792944101438777471e-01
2.100105005250262405e-02 4.173398877045312173e-04 -1.972989131865222900e-02 2.057120791609956534e-02 -9.192012608998697543e-01 9.792328309160062139e-01
2.250112505625281173e-02 4.785987764248962194e-04 -2.110660801751500573e-02 2.204008163908116255e-02 -9.163300133033345229e-01 9.791668009485713364e-01
2.400120006000299941e-02 5.439815643623180765e-04 -2.247902118516198131e-02 2.350885298338727808e-02 -9.134635059190425732e-01 9.790963353573786110e-01
2.550127506375318709e-02 6.134753509429499837e-04 -2.384713793108424185e-02 2.497751530656803012e-02 -9.106017371670113159e-01 9.790214492278687120e-01
2.700135006750337477e-02 6.870672569189159107e-04 -2.521096536238943628e-02 2.644606198878006464e-02 -9.077447054494944823e-01 9.789421576151542403e-01
2.850142507125356245e-02 7.647444243611206064e-04 -2.657051058377519689e-02 2.791448643274111949e-02 -9.048924091510508472e-01 9.788584755440566942e-01
3.000150007500375013e-02 8.464940166519788851e-04 -2.792578069750264319e-02 2.938278206368458503e-02 -9.020448466386109532e-01 9.787704180091437722e-01
3.150157507875393781e-02 9.323032184780664705e-04 -2.927678280336999325e-02 3.085094232931415853e-02 -8.992020162615449452e-01 9.786779999747660108e-01
