0.000000000000000000e+00 -1.548128618029030659e-25 1.700015438885546802e-24 -1.032461152738439580e-26 -1.020517437318542608e+00 9.999063124157923088e-01
1.500075003750187463e-03 2.294189279458344943e-06 -1.528648468236084527e-03 1.499933455524715339e-03 -1.017579270547843473e+00 9.999042932999275823e-01
3.000150007500374926e-03 9.167944707059495169e-06 -3.052892436947341349e-03 2.999860857247095385e-03 -1.014645065140394875e+00 9.998982427927005645e-01
4.500225011250562172e-03 2.060806103847347660e-05 -4.572737849468253880e-03 4.499776165470121582e-03 -1.011714822416118320e+00 9.998881711488245561e-01
6.000300015000749852e-03 3.660135086322045312e-05 -6.088190651098305747e-03 5.999673355873760654e-03 -1.008788543674971061e+00 9.998740886152034379e-01
7.500375018750937532e-03 5.713464461052112172e-05 -7.599256789072068516e-03 7.499546419503225723e-03 -1.005866230196993394e+00 9.998560054309001410e-01
9.000450022501124345e-03 8.219479055505747209e-05 -9.105942212529360980e-03 8.999389362757192340e-03 -1.002947883242354399e+00 9.998339318271040055e-01
1.050052502625131202e-02 1.117686548226442194e-04 -1.060825287248547827e-02 1.049919620737596072e-02 -1.000033504051400124e+00 9.998078780270991395e-01
1.200060003000149970e-02 1.458431213958107954e-04 -1.210619472180148558e-02 1.199896099042957638e-02 -9.971230938446988823e-01 9.997778542462327778e-01
1.350067503375168738e-02 1.844050921192945944e-04 -1.359977371515458736e-02 1.349867776430590041e-02 -9.942166538230891026e-01 9.997438706918834184e-01
1.500075003750187506e-02 2.274414867054451992e-04 -1.508899580900856935e-02 1.499834059669862517e-02 -9.913141851677251815e-01 9.997059375634297362e-01
1.650082504125206101e-02 2.749392427395402514e-04 -1.657386696158429790e-02 1.649794357059525957e-02 -9.884156890401245565e-01 9.996640650522189420e-01
1.800090004500224869e-02 3.268853156850127020e-04 -1.805439313283030769e-02 1.799748078426505887e-02 -9.855211665822138922e-01 9.996182633415355845e-01
1.950097504875243637e-02 3.832666788885901463e-04 -1.953058028439344507e-02 1.949694635124689726e-02 -9.826306189163761529e-01 9.995685426065709089e-01
2.100105005250262405e-02 4.440703235853459322e-04 -2.100243437958958237e-02 2.099633440033710566e-02 -9.797440471454967881e-01 9.995149130143914373e-01
2.250112505625281173e-02 5.092832589036626377e-04 -2.246996138337440871e-02 2.249563907557727491e-02 -9.768614523530101401e-01 9.994573847239087705e-01
2.400120006000299941e-02 5.788925118701081620e-04 -2.393316726231429006e-02 2.399485453624198086e-02 -9.739828356029464063e-01 9.993959678858483908e-01
2.550127506375318709e-02 6.528851274142243206e-04 -2.539205798455718491e-02 2.549397495682648868e-02 -9.711081979399774911e-01 9.993306726427195752e-01
2.700135006750337477e-02 7.312481683732284347e-04 -2.684663951980365004e-02 2.699299452703441543e-02 -9.682375403894636356e-01 9.992615091287849749e-01
2.850142507125356245e-02 8.139687154966276407e-04 -2.829691783927791235e-02 2.849190745176531994e-02 -9.653708639575000472e-01 9.991884874700304175e-01
3.000150007500375013e-02 9.010338674507469524e-04 -2.974289891569898217e-02 2.999070795110228213e-02 -9.625081696309628621e-01 9.991116177841347090e-01
3.150157507875393781e-02 9.924307408231709121e-04 -3.118458872325188813e-02 3.148939026029939220e-02 -9.596494583775555531e-01 9.990309101804398795e-01
3.300165008250412202e-02 1.088146470127098397e-03 -3.262199323755891889e-02 3.298794862976926062e-02 -9.567947311458554482e-01 9.989463747599213184e-01
3.450172508625431317e-02 1.188168207805611991e-03 -3.405511843565099672e-02 3.448637732507042059e-02 -9.539439888653595823e-01 9.988580216151582425e-01
3.600180009000449738e-02 1.292483124235859968e-03 -3.548397029593906848e-02 3.598467062689469226e-02 -9.510972324465312155e-01 9.987658608303039420e-01
3.750187509375468853e-02 1.401078407733156528e-03 -3.690855479818561102e-02 3.748282283105457829e-02 -9.482544627808459081e-01 9.986699024810568037e-01
3.900195009750487274e-02 1.513941264554989879e-03 -3.832887792347614009e-02 3.898082824847049627e-02 -9.454156807408375940e-01 9.985701566346305569e-01
4.050202510125506389e-02 1.631058918904953331e-03 -3.974494565419089964e-02 4.047868120515808049e-02 -9.425808871801448774e-01 9.984666333497256296e-01
4.200210010500524810e-02 1.752418612936583161e-03 -4.115676397397647485e-02 4.197637604221534507e-02 -9.397500829335567740e-01 9.983593426765000611e-01
4.350217510875543925e-02 1.878007606757119488e-03 -4.256433886771761321e-02 4.347390711580988859e-02 -9.369232688170591183e-01 9.982482946565405246e-01
4.500225011250562346e-02 2.007813178431174135e-03 -4.396767632150900412e-02 4.497126879716598774e-02 -9.341004456278804158e-01 9.981334993228336838e-01
