mode	quantity	Tw_start	Tw_end	blackburn_start	blackburn_end	blackburn_change_percent	compressible_start	compressible_end	compressible_change_percent	change_magnitude_error_percent
Type-I	R_c	1.0	1.2	286.04926038607937	262.6651722500755	-8.17484656469395	286.70753030169317	260.81308237147243	-9.031659511339948	-9.486772010948838
Type-I	beta_c	1.0	1.2	0.07746975052505223	0.06563476899045288	-15.276906733773641	0.07698149700239212	0.06252001057966909	-18.78566536874914	-18.677851255737192
Type-II	R_c	1.0	1.12	451.4360078261751	421.29654943957604	-6.676352321059031	454.8947408451839	430.0393571238435	-5.463985728909431	22.18831915565013
Type-II	beta_c	1.0	1.12	0.046386047681828156	0.04314149297304503	-6.99467807871501	0.046083540188272556	0.04209713209434037	-8.650394647732936	-19.140358751746085
