Tw,method,N,F,G,H,Fz,Gz,rho,T,velocity_error,derivative_error,density_error,temperature_excess_error
1.0,adaptive_cubic,0,0.0023666743431388576,0.0003288330794638741,0.00012748993701019583,0.0020289769732803574,0.0017896525127056237,0.001008391377070012,1.0,0.0023666743431388576,0.0020289769732803574,0.001008391377070012,1.0
1.0,adaptive_pchip,0,0.002366674346879349,0.00032883297341895046,0.00012749097852041483,0.002028975207350712,0.0017897022838499511,0.0010083913788128203,1.0,0.002366674346879349,0.002028975207350712,0.0010083913788128203,1.0
1.0,trapezoid,251,0.002366678338582224,0.00032883308893127256,0.0001274899323421327,0.0020202295649434663,0.001789629470505058,0.001008389956928867,1.0,0.002366678338582224,0.0020202295649434663,0.001008389956928867,1.0
1.0,simpson,251,0.002366657508386547,0.00032883307149820926,0.00012748993237059737,0.0020296306473200913,0.0017897115237046589,0.0010083961052657477,1.0,0.002366657508386547,0.0020296306473200913,0.0010083961052657477,1.0
1.0,trapezoid,501,0.0023666746725136824,0.000328833088169445,0.00012748993233302258,0.0020268126672548722,0.001789648942654343,0.0010083912457144984,1.0,0.0023666746725136824,0.0020268126672548722,0.0010083912457144984,1.0
1.0,simpson,501,0.002366673450494491,0.0003288330879155025,0.00012748993232998586,0.0020290208707815435,0.0017896554333867493,0.0010083916753095357,1.0,0.002366673450494491,0.0020290208707815435,0.0010083916753095357,1.0
1.0,trapezoid,1001,0.0023666744474951746,0.00032883308815225676,0.00012748993233783787,0.002028437033473412,0.0017896512952005267,0.0010083913582432868,1.0,0.0023666744474951746,0.002028437033473412,0.0010083913582432868,1.0
1.0,simpson,1001,0.0023666743724890197,0.0003288330881465273,0.00012748993233944295,0.0020289793494950286,0.0017896520793837121,0.0010083913957528846,1.0,0.0023666743724890197,0.0020289793494950286,0.0010083913957528846,1.0
1.0,trapezoid,2001,0.002366674349944773,0.0003288330799804095,0.0001274899367191944,0.0020288421670019473,0.0017896523488156483,0.001008391373239638,1.0,0.002366674349944773,0.0020288421670019473,0.001008391373239638,1.0
1.0,simpson,2001,0.002366674317427972,0.0003288330772564604,0.00012748993817964654,0.0020289772652664208,0.0017896527000207515,0.0010083913782384217,1.0,0.002366674317427972,0.0020289772652664208,0.0010083913782384217,1.0
1.0,trapezoid,4001,0.002366674343848151,0.00032883307946933606,0.00012748993699303028,0.0020289432836633325,0.0017896524860823784,0.0010083913761671853,1.0,0.002366674343848151,0.0020289432836633325,0.0010083913761671853,1.0
1.0,simpson,4001,0.002366674341815943,0.00032883307929897825,0.00012748993708430894,0.002028976992573921,0.0017896525318379596,0.0010083913771430342,1.0,0.002366674341815943,0.002028976992573921,0.0010083913771430342,1.0
1.0,trapezoid,8001,0.0023666743434670903,0.00032883307943739037,0.0001274899370101487,0.002028968552411014,0.001789652512527072,0.0010083913768477197,1.0,0.0023666743434670903,0.002028968552411014,0.0010083913768477197,1.0
1.0,simpson,8001,0.00236667434334007,0.0003288330794267418,0.00012748993701585483,0.002028976975536662,0.0017896525213419695,0.0010083913770745645,1.0,0.00236667434334007,0.002028976975536662,0.0010083913770745645,1.0
1.0,trapezoid,16001,0.002366674343443275,0.0003288330794353936,0.00012748993701121802,0.002028974868946567,0.0017896525186457985,0.0010083913770146439,1.0,0.002366674343443275,0.002028974868946567,0.0010083913770146439,1.0
