pressure_gradient,Tw,thermal_rossby,rotor_heat_flux_Tz,G_mid,H_min,F_min,F_max,nodes,max_rms_residual
0.0979164800975601,1.0,0.0,2.3801670571364114e-28,0.31466628922685164,-1.0376850315489263,-0.15134756289505152,0.16968654266666006,1226,1.998093597132196e-07
0.09957595075075647,1.01,0.010000000000000009,-0.09834690362616814,0.3174994361898071,-1.0420765391400237,-0.15262335754595957,0.16951170546698233,1233,1.981991416956193e-07
0.10120577419376534,1.02,0.020000000000000018,-0.1967750368111054,0.3202531727150974,-1.0462947330795291,-0.1538818454910277,0.16932668534433318,1237,1.991845851972468e-07
0.10280663737850036,1.03,0.030000000000000027,-0.29527033968218275,0.32293079798012203,-1.0503789431584434,-0.15510471145952756,0.16913134424040102,1243,1.9940991878488363e-07
0.10437918400152955,1.04,0.040000000000000036,-0.3938190693470999,0.32553539019929095,-1.0544144108781373,-0.15629342423269138,0.16892554859003187,1251,1.9763248019566162e-07
0.10592401899578807,1.05,0.050000000000000044,-0.49240777548407233,0.32806982679435476,-1.0583001801559506,-0.1574493530102311,0.16870916846887243,1255,1.976395553731071e-07
0.10744171241487731,1.06,0.06000000000000005,-0.5910232774701235,0.3305368021860934,-1.0620439327845554,-0.15857377688213262,0.168482076841609,1260,1.9929936566220704e-07
0.10893280281071874,1.07,0.07000000000000006,-0.6896526428488179,0.33293884355959563,-1.0656900654265293,-0.15966789313840876,0.16824414889303385,1265,1.9945310327279907e-07
0.11039780017527154,1.08,0.08000000000000007,-0.7882831669835787,0.3352783248741044,-1.069293533221028,-0.16073282458553573,0.16799526143338292,1272,1.988309828881935e-07
0.11183718851777956,1.09,0.09000000000000008,-0.8869023537628015,0.3375574793666096,-1.0727721552503853,-0.1617696260152227,0.1677352923663406,1276,1.9890003127564754e-07
0.11325142812357457,1.1,0.10000000000000009,-0.9854978972541768,0.33977841073559106,-1.0761317458387019,-0.16277928994033922,0.16746412021020288,1279,1.9891305126053865e-07
0.11464095754630793,1.11,0.1100000000000001,-1.0840576642121549,0.3419431031853831,-1.0793777376458629,-0.16376275170231855,0.16718162366734618,1286,1.998160703396867e-07
0.11600619536887974,1.12,0.1200000000000001,-1.182569677358884,0.3440534304704877,-1.0826002091849294,-0.1647222007732235,0.16691179499298162,1289,1.9874887253073013e-07
