degree,mapping_scale,Hinf,Tw,Fp0,Gp0,Tp0,thermal_tail_length,residual_inf,newton_iterations,nearest_fold_distance_Hinf
50,12.0,-0.75,1.032241525078823,0.4904326492510063,0.5982263694508773,-0.010108983433309293,1.8518518518518516,7.832264986033904e-13,2,0.21723830727181248
50,12.0,-0.74,1.0338272909745676,0.4894795557184654,0.5972480968092786,-0.010575120104203778,1.876876876876877,9.263706890113376e-13,4,0.20723830727181247
50,12.0,-0.73,1.0353141647496806,0.4885897981913676,0.5963151074433921,-0.01100851903346417,1.9025875190258754,2.968779760286765e-13,4,0.19723830727181246
50,12.0,-0.72,1.0367046713695809,0.48776172773957427,0.5954270011881183,-0.011410358789458785,1.9290123456790125,2.648202897289877e-12,4,0.18723830727181245
50,12.0,-0.71,1.0380013149792127,0.48699369975553947,0.5945833492660243,-0.011781786349257362,1.9561815336463224,9.84343981214114e-13,4,0.17723830727181245
50,12.0,-0.7,1.0392065840340197,0.48628407171017973,0.5937836913120547,-0.012123919196295407,1.9841269841269842,1.1299998702678622e-12,4,0.16723830727181244
50,12.0,-0.69,1.0403229334077355,0.4856312144375545,0.5930275477171155,-0.012437840898667007,2.0128824476650564,3.961580679382526e-12,4,0.15723830727181243
50,12.0,-0.68,1.0413528127529752,0.48503349619412334,0.5923144012555408,-0.012724609803922038,2.042483660130719,1.83391650053329e-12,4,0.14723830727181253
50,12.0,-0.67,1.0422986362779691,0.4844893010485995,0.5916437180708523,-0.012985251203826709,2.0729684908789388,2.6459927561375837e-12,4,0.13723830727181252
50,12.0,-0.66,1.0431628042834715,0.4839970169745063,0.59101493367106,-0.013220764060019721,2.1043771043771042,2.9915822463688206e-12,4,0.1272383072718125
50,12.0,-0.65,1.0439476918500292,0.48355504303387575,0.5904274615026744,-0.013432118552043237,2.1367521367521367,1.023791239315692e-12,4,0.1172383072718125
50,12.0,-0.64,1.044655657508475,0.48316178505787755,0.589880687338042,-0.013620259129464601,2.170138888888889,2.2093314942511625e-12,4,0.1072383072718125
50,12.0,-0.63,1.0452890379634385,0.48281565927282055,0.5893739737435096,-0.013786103753983273,2.204585537918871,1.852391158062831e-12,4,0.09723830727181249
50,12.0,-0.62,1.0458501442379469,0.48251509487546584,0.5889066642027804,-0.013930543625388939,2.2401433691756276,1.4542018648724096e-12,4,0.08723830727181248
50,12.0,-0.61,1.0463412726794712,0.4822585285555154,0.5884780750831012,-0.014054446757949993,2.276867030965392,1.349825795842613e-12,4,0.07723830727181247
50,12.0,-0.6,1.0467646959920125,0.48204440985553937,0.5880875037332759,-0.014158656346222431,2.314814814814815,4.963103161099359e-12,4,0.06723830727181246
50,12.0,-0.598,1.0468414548369922,0.4820065440744076,0.5880138880856846,-0.014177207653841395,2.322556670382758,1.1064621441292388e-12,3,0.06523830727181246
50,12.0,-0.596,1.0469156131633512,0.48197030253911566,0.5879417587735245,-0.014195010443938644,2.330350484712901,4.266966692567096e-12,3,0.06323830727181246
50,12.0,-0.594,1.0469871906430068,0.4819356721448785,0.587871108141339,-0.014212071558614314,2.3381967826412273,1.0921819004749977e-12,3,0.06123830727181245
50,12.0,-0.592,1.047056202854932,0.481902641780806,0.5878019324762829,-0.014228396832532825,2.346096096096096,3.810538452124772e-12,3,0.05923830727181245
50,12.0,-0.59,1.0471226690340056,0.4818711985680763,0.587734224404721,-0.01424399294448317,2.354048964218456,1.467699067648012e-12,3,0.05723830727181245
50,12.0,-0.588,1.0471866073002123,0.48184133018207276,0.5876679775586674,-0.014258866276673887,2.362055933484505,1.2594060268456656e-12,3,0.05523830727181245
50,12.0,-0.586,1.047248033943982,0.48181302515357555,0.587603187409223,-0.014273022759607346,2.3701175578308686,1.0686382334590405e-12,3,0.053238307271812446
50,12.0,-0.584,1.047306967554787,0.4817862709362604,0.5875398470103235,-0.014286468834211308,2.378234398782344,3.641797849104954e-12,3,0.051238307271812444
50,12.0,-0.582,1.0473634258508036,0.4817610554039927,0.5874779502250905,-0.014299210708639765,2.3864070255822836,1.3708670323413989e-12,3,0.04923830727181244
50,12.0,-0.58,1.0474174264733824,0.4817373664655613,0.5874174909551974,-0.01431125454869836,2.3946360153256707,3.92935645863388e-12,3,0.04723830727181244
50,12.0,-0.578,1.0474689873861267,0.4817151919009657,0.5873584626512485,-0.014322606562967369,2.4029219530949635,1.0634305935841581e-12,3,0.04523830727181244
50,12.0,-0.576,1.0475181251917467,0.4816945200748059,0.5873008602812503,-0.014333272636218697,2.4112654320987654,1.0683919027254518e-12,3,0.04323830727181244
50,12.0,-0.574,1.0475648586676478,0.48167533843237836,0.5872446762261745,-0.01434325910197437,2.4196670538133955,1.0664941152427332e-12,3,0.041238307271812435
50,12.0,-0.572,1.0476092048529666,0.4816576351665513,0.5871899048122722,-0.014352571887468246,2.4281274281274285,1.6327365036088062e-12,3,0.039238307271812434
50,12.0,-0.57,1.0476511811607703,0.48164139830801067,0.5871365398958147,-0.014361216978795527,2.436647173489279,1.0536953254369763e-12,3,0.03723830727181243
