zmax,Hinf,Tw,Fp0,Gp0,Tp0,nodes
70.0,-0.75,1.0322415262178766,0.49043264856691743,0.5982263687525962,-0.010108983769615625,1719.0
70.0,-0.7475,1.0326473786105994,0.490188346566633,0.5979775339244406,-0.010228653028361515,1718.0
70.0,-0.745,1.0330469307927512,0.48994808070103035,0.5977315472193324,-0.010346219670871007,1718.0
70.0,-0.7425,1.0334402226461974,0.4897118251042053,0.5974884028579684,-0.010461702697542404,1718.0
70.0,-0.74,1.0338272939665414,0.4894795539256121,0.5972480949493828,-0.010575120980043788,1718.0
70.0,-0.7375,1.0342081844632556,0.48925124133075243,0.597010617491297,-0.01068649326198017,1718.0
70.0,-0.735,1.0345829337598462,0.4890268615018477,0.5967759643704335,-0.010795838159573233,1718.0
70.0,-0.7325,1.034951581393963,0.4888063886385408,0.5965441293628736,-0.010903174162326543,1718.0
70.0,-0.73,1.0353141668175376,0.4885897969585752,0.5963151061344074,-0.01100851963370139,1718.0
70.0,-0.7275,1.0356707293969292,0.48837706069847475,0.5960888882408644,-0.011111892811797091,1719.0
70.0,-0.725,1.0360213084130072,0.4881681541142112,0.59586546912853,-0.011213311810011244,1718.0
70.0,-0.7225,1.0363659430613674,0.4879630514818833,0.5956448421346863,-0.011312794617748409,1718.0
70.0,-0.72,1.0367046724523683,0.48776172709839316,0.595427000487624,-0.011410359101069077,1718.0
70.0,-0.7175,1.0370375356113153,0.4875641552820916,0.595211937307351,-0.011506023003389397,1718.0
70.0,-0.715,1.0373645714785613,0.48737031037345047,0.594999645605933,-0.011599803946156196,1718.0
70.0,-0.7125,1.0376858189096398,0.48718016673571257,0.594790118287917,-0.011691719429533044,1718.0
70.0,-0.71,1.0380013166753947,0.48699369875553766,0.5945833481507627,-0.011781786833087617,1718.0
70.0,-0.7075,1.0383111034620867,0.48681088084365887,0.5943793278853015,-0.011870023416472978,1718.0
70.0,-0.705,1.0386152178715387,0.4866316874355081,0.5941780500761756,-0.01195644632012271,1718.0
70.0,-0.7025,1.0389136984212368,0.48645609299186543,0.5939795072023188,-0.012041072565933411,1718.0
70.0,-0.7,1.039206583544469,0.4862840719994778,0.5937836916374192,-0.012123919057960734,1718.0
70.0,-0.6975,1.0394939115904323,0.48611559897169326,0.5935905956504106,-0.012205002583106844,1718.0
70.0,-0.695,1.0397757208243654,0.4859506484490727,0.593400211405959,-0.012284339811817072,1718.0
70.0,-0.6925,1.0400520494276697,0.4857891950000041,0.5932125309649615,-0.012361947298774217,1718.0
70.0,-0.69,1.0403229354980177,0.4856312132213175,0.5930275462850645,-0.012437841483590704,1718.0
70.0,-0.6875,1.0405884170494941,0.48547667773887543,0.5928452492211674,-0.012512038691511296,1718.0
70.0,-0.685,1.0408485320126961,0.4853255632081814,0.5926656315259615,-0.01258455513410513,1718.0
70.0,-0.6825,1.0411033182348752,0.48517784431495753,0.59248868485045,-0.012655406909971061,1718.0
