Tw	R_c_blackburn_omega0	R_c_blackburn_omega_positive	R_c_compressible_omega0	R_c_compressible_omega_positive	blackburn_Rc_change_percent	compressible_Rc_change_percent	compressible_omega0_status
1.0	451.4360078261751	296.94047411736267	454.8947408451839	297.9754216663524	-34.223130417257444	-34.495742660660135	available
1.04	442.98974787918	292.95622360387614	446.40103362857224	295.39018919560266	-33.86839650208422	-33.82851585388982	available
1.08	433.01890208368206	288.34683037208777	438.1584651683899	292.9465963436959	-33.41010542852377	-33.141404393245544	available
1.12	421.29654943957604	339.7369975927103	430.0393571238435	344.7023879307362	-19.35917869618425	-19.843990504462546	available
1.16	407.9216445644329	330.89482857277216		346.3418554540124	-18.882747953692864		compressible_critical_missing
1.2	392.9425052058034	319.5618368165925		340.54696736673384	-18.674657848678855		compressible_critical_missing
