branch,label,pressure_gradient,H_mid,F_mid,G_mid,T_mid,core_max_abs_F,core_G_range,core_rms_Gz,core_rms_inviscid_residual,mass_integral_F,steady_radial_residual_max,steady_azimuthal_residual_max,steady_thermal_residual_max,F_interior_sign_changes,G_interior_extrema,mid_spatial_positive_real_count,mid_spatial_negative_real_count,mid_spatial_neutral_count,shortest_mid_spatial_wavelength,leading_temporal_real,leading_temporal_imag,temporal_positive_real_count,dominant_mode_F_relative_max,dominant_mode_H_relative_max,dominant_mode_G_relative_max,dominant_mode_T_relative_max,dominant_mode_z_centroid,least_damped_oscillatory_real,least_damped_oscillatory_imag_abs,least_damped_oscillatory_period,least_damped_oscillatory_quality_factor,similarity_temporal_class
1,upper / low-Pi,0.001542389588,-0.36139962967292893,-0.0022077465556213363,0.062300212570522984,1.0015650522864508,0.013338140494735461,0.040301253356487717,0.1197156561293191,0.0006948141469157958,-1.1037727506634995e-06,7.498772177773447e-05,0.00024734377367472554,4.156090406647777e-06,1,0,3,4,0,0.8804503559063037,-0.00580321866110009,0.0,0,0.07914177294686195,1.0,0.17035832624301486,0.0077681917409131804,0.6731573902464516,-0.06356802739161951,0.10340114783281541,60.76514080229149,0.8133109683882317,stable-with-damped-oscillations
2,middle,0.003786919205,-0.43933828890946647,0.005355129579520792,0.07667460735138648,1.0009625898910455,0.013357442245574221,0.019382123348929373,0.09299557430302806,0.0015414249100118885,-1.0826394874858744e-06,7.454384820048104e-05,0.00024656598318990863,4.163278145013675e-06,3,2,4,3,0,0.8531997099821402,0.0028664437780455696,0.0,1,0.08996837547886934,1.0,0.22412314590703067,0.005208474746407965,0.6945986995430483,-0.06666329728037745,0.11155132331090843,56.32551117002449,0.83667721116267,unstable-monotonic
3,principal / isothermal-connected,0.018230452624,-0.48556532640205113,0.008236654580159434,0.12958174341671416,1.0004788493250156,0.018440759724088943,0.03525470609417561,0.15805115308172957,0.003063101900727592,-9.815513308236018e-07,7.208290052479471e-05,0.00024170289164273523,4.198349817432863e-06,3,2,4,3,0,0.6151789062235677,-0.00428367417919217,0.0,0,0.14425401267091364,1.0,0.3998264936180036,0.01046115081855866,0.7061095591042885,-0.047019045693861575,0.20331899901770437,30.90308991061119,2.162091935484008,stable-with-damped-oscillations
