branch,label,collocation_points,rank,real,imag,oscillation_frequency_over_Omega,period_Omega_t
1,upper / low-Pi,61,1,-0.005803218588387083,0.0,0.0,nan
1,upper / low-Pi,61,2,-0.02547254763148809,0.0,0.0,nan
1,upper / low-Pi,61,3,-0.06356802705344983,0.10340114806431888,0.10340114806431888,60.765140666245216
1,upper / low-Pi,61,4,-0.06356802705344983,-0.10340114806431888,0.10340114806431888,60.765140666245216
1,upper / low-Pi,61,5,-0.06655157894132085,0.1676314888376522,0.1676314888376522,37.48213030109592
1,upper / low-Pi,61,6,-0.06655157894132085,-0.1676314888376522,0.1676314888376522,37.48213030109592
1,upper / low-Pi,61,7,-0.09190630130462472,0.0,0.0,nan
1,upper / low-Pi,61,8,-0.16646229156137377,0.0,0.0,nan
1,upper / low-Pi,61,9,-0.20076858957639193,0.09493646327261519,0.09493646327261519,66.1830564420446
1,upper / low-Pi,61,10,-0.20076858957639193,-0.09493646327261519,0.09493646327261519,66.1830564420446
1,upper / low-Pi,61,11,-0.22945472193818106,0.20741304361826274,0.20741304361826274,30.293105956940654
1,upper / low-Pi,61,12,-0.22945472193818106,-0.20741304361826274,0.20741304361826274,30.293105956940654
1,upper / low-Pi,61,13,-0.2581581325294902,0.0,0.0,nan
1,upper / low-Pi,61,14,-0.38120417631242265,0.0,0.0,nan
1,upper / low-Pi,61,15,-0.46071195984869473,0.08015386194868726,0.08015386194868726,78.38905268472209
1,upper / low-Pi,61,16,-0.46071195984869473,-0.08015386194868726,0.08015386194868726,78.38905268472209
1,upper / low-Pi,61,17,-0.48244584913673805,0.2632421046494515,0.2632421046494515,23.86846631372531
1,upper / low-Pi,61,18,-0.48244584913673805,-0.2632421046494515,0.2632421046494515,23.86846631372531
1,upper / low-Pi,61,19,-0.5210661461698768,0.0,0.0,nan
1,upper / low-Pi,61,20,-0.7061000584877642,0.0,0.0,nan
1,upper / low-Pi,81,1,-0.005803218574615108,0.0,0.0,nan
1,upper / low-Pi,81,2,-0.02547254752974752,0.0,0.0,nan
1,upper / low-Pi,81,3,-0.06356802853694715,0.10340114710935218,0.10340114710935218,60.76514122744485
1,upper / low-Pi,81,4,-0.06356802853694715,-0.10340114710935218,0.10340114710935218,60.76514122744485
1,upper / low-Pi,81,5,-0.06655157791754482,0.16763149122664509,0.16763149122664509,37.48212976692098
1,upper / low-Pi,81,6,-0.06655157791754482,-0.16763149122664509,0.16763149122664509,37.48212976692098
1,upper / low-Pi,81,7,-0.09190630074328665,0.0,0.0,nan
1,upper / low-Pi,81,8,-0.1664622911100451,0.0,0.0,nan
1,upper / low-Pi,81,9,-0.2007685894372152,0.09493646345494058,0.09493646345494058,66.1830563149401
1,upper / low-Pi,81,10,-0.2007685894372152,-0.09493646345494058,0.09493646345494058,66.1830563149401
1,upper / low-Pi,81,11,-0.22945472002587314,0.20741304234586902,0.20741304234586902,30.2931061427764
1,upper / low-Pi,81,12,-0.22945472002587314,-0.20741304234586902,0.20741304234586902,30.2931061427764
1,upper / low-Pi,81,13,-0.2581581330365327,0.0,0.0,nan
1,upper / low-Pi,81,14,-0.3812041763622532,0.0,0.0,nan
1,upper / low-Pi,81,15,-0.4607119599343932,0.08015386178970167,0.08015386178970167,78.38905284020716
1,upper / low-Pi,81,16,-0.4607119599343932,-0.08015386178970167,0.08015386178970167,78.38905284020716
1,upper / low-Pi,81,17,-0.4824458480850998,0.26324210248540203,0.26324210248540203,23.868466509942184
1,upper / low-Pi,81,18,-0.4824458480850998,-0.26324210248540203,0.26324210248540203,23.868466509942184
1,upper / low-Pi,81,19,-0.5210661460194097,0.0,0.0,nan
1,upper / low-Pi,81,20,-0.7061000578816558,0.0,0.0,nan
1,upper / low-Pi,101,1,-0.005803218714945441,0.0,0.0,nan
1,upper / low-Pi,101,2,-0.025472547594838055,0.0,0.0,nan
1,upper / low-Pi,101,3,-0.06356802685457531,0.10340114848235889,0.10340114848235889,60.76514042057812
1,upper / low-Pi,101,4,-0.06356802685457531,-0.10340114848235889,0.10340114848235889,60.76514042057812
1,upper / low-Pi,101,5,-0.06655157872913875,0.16763148867887462,0.16763148867887462,37.48213033659833
1,upper / low-Pi,101,6,-0.06655157872913875,-0.16763148867887462,0.16763148867887462,37.48213033659833
1,upper / low-Pi,101,7,-0.09190630139082993,0.0,0.0,nan
1,upper / low-Pi,101,8,-0.16646229183641983,0.0,0.0,nan
1,upper / low-Pi,101,9,-0.200768588844013,0.09493646277970806,0.09493646277970806,66.18305678566496
1,upper / low-Pi,101,10,-0.200768588844013,-0.09493646277970806,0.09493646277970806,66.18305678566496
1,upper / low-Pi,101,11,-0.2294547211616595,0.20741304365906035,0.20741304365906035,30.293105950982074
1,upper / low-Pi,101,12,-0.2294547211616595,-0.20741304365906035,0.20741304365906035,30.293105950982074
1,upper / low-Pi,101,13,-0.2581581325808103,0.0,0.0,nan
1,upper / low-Pi,101,14,-0.3812041763543962,0.0,0.0,nan
1,upper / low-Pi,101,15,-0.4607119594079968,0.0801538610255825,0.0801538610255825,78.38905358750215
1,upper / low-Pi,101,16,-0.4607119594079968,-0.0801538610255825,0.0801538610255825,78.38905358750215
1,upper / low-Pi,101,17,-0.48244584653604783,0.26324210341965704,0.26324210341965704,23.8684664252322
1,upper / low-Pi,101,18,-0.48244584653604783,-0.26324210341965704,0.26324210341965704,23.8684664252322
1,upper / low-Pi,101,19,-0.5210661459908278,0.0,0.0,nan
1,upper / low-Pi,101,20,-0.7061000586026168,0.0,0.0,nan
1,upper / low-Pi,121,1,-0.00580321866110009,0.0,0.0,nan
1,upper / low-Pi,121,2,-0.025472547575637626,0.0,0.0,nan
1,upper / low-Pi,121,3,-0.06356802739161951,0.10340114783281541,0.10340114783281541,60.76514080229149
1,upper / low-Pi,121,4,-0.06356802739161951,-0.10340114783281541,0.10340114783281541,60.76514080229149
1,upper / low-Pi,121,5,-0.06655157859021443,0.16763148946988188,0.16763148946988188,37.48213015973039
1,upper / low-Pi,121,6,-0.06655157859021443,-0.16763148946988188,0.16763148946988188,37.48213015973039
1,upper / low-Pi,121,7,-0.09190630114236399,0.0,0.0,nan
1,upper / low-Pi,121,8,-0.16646229133916896,0.0,0.0,nan
1,upper / low-Pi,121,9,-0.20076858973160017,0.09493646335257609,0.09493646335257609,66.18305638630147
1,upper / low-Pi,121,10,-0.20076858973160017,-0.09493646335257609,0.09493646335257609,66.18305638630147
1,upper / low-Pi,121,11,-0.2294547208277354,0.2074130432056987,0.2074130432056987,30.293106017196486
1,upper / low-Pi,121,12,-0.2294547208277354,-0.2074130432056987,0.2074130432056987,30.293106017196486
1,upper / low-Pi,121,13,-0.2581581325563833,0.0,0.0,nan
1,upper / low-Pi,121,14,-0.38120417626693553,0.0,0.0,nan
1,upper / low-Pi,121,15,-0.46071195978836055,0.08015386193222573,0.08015386193222573,78.38905270082117
1,upper / low-Pi,121,16,-0.46071195978836055,-0.08015386193222573,0.08015386193222573,78.38905270082117
1,upper / low-Pi,121,17,-0.4824458480671132,0.26324210342243554,0.26324210342243554,23.86846642498027
1,upper / low-Pi,121,18,-0.4824458480671132,-0.26324210342243554,0.26324210342243554,23.86846642498027
1,upper / low-Pi,121,19,-0.5210661461803768,0.0,0.0,nan
1,upper / low-Pi,121,20,-0.7061000584633371,0.0,0.0,nan
2,middle,61,1,0.0028664438260149108,0.0,0.0,nan
2,middle,61,2,-0.04039466581392084,0.0,0.0,nan
2,middle,61,3,-0.066663296835421,0.11155132338812598,0.11155132338812598,56.3255111310351
2,middle,61,4,-0.066663296835421,-0.11155132338812598,0.11155132338812598,56.3255111310351
2,middle,61,5,-0.07529467547901358,0.2088732788430585,0.2088732788430585,30.08132654393095
2,middle,61,6,-0.07529467547901358,-0.2088732788430585,0.2088732788430585,30.08132654393095
