branch,label,rank,real,imag,spatial_wavelength
1,upper / low-Pi,1,2.984526556593482,7.034942698681299,0.8931395146057651
1,upper / low-Pi,2,2.984526556593482,-7.034942698681299,0.8931395146057651
1,upper / low-Pi,3,1.0132630695365166,0.0,nan
1,upper / low-Pi,4,-0.541872863132412,0.0,nan
1,upper / low-Pi,5,-8.54469192902661,0.0,nan
1,upper / low-Pi,6,-14.490580959468689,7.1363311571518455,0.8804503559063037
1,upper / low-Pi,7,-14.490580959468689,-7.1363311571518455,0.8804503559063037
2,middle,1,3.2373340105532895,7.271720935074496,0.8640575406123197
2,middle,2,3.2373340105532895,-7.271720935074496,0.8640575406123197
2,middle,3,0.5573281906450093,0.5572907446708081,11.274519390934918
2,middle,4,0.5573281906450093,-0.5572907446708081,11.274519390934918
2,middle,5,-10.24127321416796,0.0,nan
2,middle,6,-17.568636919454374,7.364260950476777,0.8531997099821402
2,middle,7,-17.568636919454374,-7.364260950476777,0.8531997099821402
3,principal / isothermal-connected,1,5.393736545965653,10.213590296439971,0.6151789062235677
3,principal / isothermal-connected,2,5.393736545965653,-10.213590296439971,0.6151789062235677
3,principal / isothermal-connected,3,0.2184421211438839,0.36037853767117717,17.434959772528405
3,principal / isothermal-connected,4,0.2184421211438839,-0.36037853767117717,17.434959772528405
3,principal / isothermal-connected,5,-11.114931961799467,0.0,nan
3,principal / isothermal-connected,6,-20.937409111786422,9.747098236759195,0.6446211123105166
3,principal / isothermal-connected,7,-20.937409111786422,-9.747098236759195,0.6446211123105166
