time	case	status	attempt	points	message
2026-07-30T21:51:29	ome=0.0_Tw=1.12_model=blackburn	running	1	0	starting
2026-07-30T22:06:21	ome=0.0_Tw=1.12_model=blackburn	ok	1	102	stop_reason=R_limit
