degree,mapping_scale,Hinf,Tw,Fp0,Gp0,Tp0,thermal_tail_length,residual_inf,newton_iterations,nearest_fold_distance_Hinf
50,4.0,-0.75,1.0322415202460933,0.49043265195504865,0.5982263743497422,-0.010108982061389438,1.8518518518518516,1.0589557961477658e-11,2,0.21723841244764575
50,4.0,-0.74,1.033827286355001,0.48947955826825684,0.597248101745239,-0.010575118812632733,1.876876876876877,6.918166460180377e-12,5,0.20723841244764574
50,4.0,-0.73,1.0353141588433041,0.4885898014914042,0.5963151132785808,-0.01100851738417763,1.9025875190258754,5.176464628205938e-12,6,0.19723841244764573
50,4.0,-0.72,1.0367046639508175,0.4877617319259152,0.5954270079975259,-0.011410356719787074,1.9290123456790125,2.343000879087622e-11,5,0.18723841244764572
50,4.0,-0.71,1.0380013087130564,0.48699370325452745,0.5945833552285864,-0.011781784623715374,1.9561815336463224,2.683819167534916e-11,5,0.1772384124476457
50,4.0,-0.7,1.039206576662044,0.48628407586677647,0.5937836977957354,-0.012123917167038534,1.9841269841269842,1.693764658073667e-11,4,0.1672384124476457
50,4.0,-0.69,1.0403229298834622,0.4856312163686462,0.5930275512348155,-0.012437839951964014,2.0128824476650564,1.4642325347210075e-11,4,0.1572384124476457
50,4.0,-0.68,1.0413528100880138,0.4850334976733519,0.5923144036683219,-0.012724609085557947,2.042483660130719,3.787485533128564e-12,4,0.1472384124476458
50,4.0,-0.67,1.0422986363650104,0.4844893010131627,0.5916437178755478,-0.012985251222947747,2.0729684908789388,1.862369570016548e-11,4,0.13723841244764579
50,4.0,-0.66,1.0431628068018777,0.4839970156494403,0.5910149309036822,-0.013220764707941146,2.1043771043771042,2.6305202521181372e-11,4,0.12723841244764578
50,4.0,-0.65,1.043947698410222,0.48355503956137125,0.5904274547615732,-0.013432120239231071,2.1367521367521367,4.181912319638923e-12,5,0.11723841244764577
50,4.0,-0.64,1.0446556674935232,0.4831617798518942,0.5898806768657124,-0.013620261660291899,2.170138888888889,2.635902296544051e-11,4,0.10723841244764576
50,4.0,-0.63,1.0452890491019484,0.48281565364049106,0.5893739611711332,-0.013786106505985996,2.204585537918871,1.4618809160285503e-11,4,0.09723841244764575
50,4.0,-0.62,1.0458501574832377,0.48251508835234347,0.5889066486551285,-0.013930546828044232,2.2401433691756276,2.1407229192548573e-12,4,0.08723841244764574
50,4.0,-0.61,1.0463412863109747,0.48225852210854236,0.588478057954886,-0.0140544499531291,2.276867030965392,1.3330116278175809e-11,5,0.07723841244764573
50,4.0,-0.6,1.0467647103136999,0.48204440337877613,0.5880874847525546,-0.01415865959446344,2.314814814814815,1.7733793204696452e-11,4,0.06723841244764572
50,4.0,-0.598,1.0468414693842965,0.48200653755940337,0.5880138686393088,-0.014177210929650907,2.322556670382758,2.9999763698196994e-11,4,0.06523841244764572
50,4.0,-0.596,1.046915627977976,0.48197029596703117,0.5879417388265793,-0.014195013759112307,2.330350484712901,1.6662145948922743e-12,3,0.06323841244764572
50,4.0,-0.594,1.0469872043231492,0.48193566619927,0.5878710890667529,-0.014212074575957245,2.3381967826412273,2.4571808439883647e-12,3,0.06123841244764572
50,4.0,-0.592,1.0470562167236575,0.48190263582150766,0.5878019129782269,-0.014228399867838026,2.346096096096096,6.228750395302483e-12,3,0.059238412447645716
50,4.0,-0.59,1.0471226828061981,0.4818711927345281,0.5877342047701408,-0.014243995929481446,2.354048964218456,2.921311541088425e-11,3,0.057238412447645715
50,4.0,-0.588,1.0471866198230464,0.4818413250153716,0.5876679589795459,-0.014258868942496838,2.362055933484505,1.1753954082285736e-11,3,0.05523841244764571
50,4.0,-0.586,1.0472480462588394,0.481813020165033,0.587603168825333,-0.014273025348492507,2.3701175578308686,1.7528353646594227e-11,4,0.05323841244764571
50,4.0,-0.584,1.0473069796070171,0.4817862661470782,0.5875398285037903,-0.014286471336808049,2.378234398782344,1.4255100215036767e-11,3,0.05123841244764571
50,4.0,-0.582,1.0473634373582215,0.4817610509434084,0.5874779321023501,-0.014299213060175453,2.3864070255822836,5.403662395936265e-12,3,0.04923841244764571
