TITLE = "folds_Re800_traditional_centrifugal"
VARIABLES = "pressure_gradient" "Tw" "thermal_rossby" "rotor_heat_flux_Tz" "G_mid" "H_min" "F_min" "F_max"
DATASETAUXDATA Source_File = "boussinesq_singularity_re_scan/Re800/folds_Re800_traditional_centrifugal.json"
DATASETAUXDATA Converter = "convert_all_to_tecplot.py"
ZONE T="kind=minimum", I=1, DATAPACKING=POINT
AUXDATA kind = "minimum"
0.003207919817675568 1.158790083439009 0.158790083439009 -1.195384302766751 0.07934783642916562 -0.5784887267093927 -0.02712939834058082 0.1472746699833916
ZONE T="kind=maximum", I=1, DATAPACKING=POINT
AUXDATA kind = "maximum"
0.009852771712494521 1.165510879989791 0.1655108799897906 -1.24510001310255 0.1105321993049383 -0.5841076862074908 -0.04798891277948017 0.1454610792179817
