model,Tw,z,H,F,G,T,Fp,Gp,Tp
traditional,1.04,38.36,-0.6929749933419631,-9.903397889205777e-10,0.999999999998567,1.0000000001173195,9.460228160488454e-10,1.4624519923107268e-12,-1.0475154712639567e-10
traditional,1.04,38.38,-0.6929749933027266,-9.7152662493768e-10,0.999999999998596,1.0000000001152347,9.353112671477169e-10,1.4423229478573208e-12,-1.0371144628516053e-10
traditional,1.04,38.4,-0.6929749932642383,-9.529266308835462e-10,0.9999999999986247,1.0000000001131708,9.247059548762773e-10,1.422470965260191e-12,-1.0268167297978357e-10
traditional,1.04,38.42,-0.6929749932264897,-9.345376855829234e-10,0.9999999999986529,1.0000000001111273,9.142058242180086e-10,1.4028922135738979e-12,-1.0166212432656243e-10
traditional,1.04,38.44,-0.6929749931894724,-9.163577027924206e-10,0.9999999999986807,1.0000000001091043,9.038098335002276e-10,1.383582949336462e-12,-1.0065269913880645e-10
traditional,1.04,38.46,-0.6929749931531781,-8.983846059788753e-10,0.9999999999987083,1.0000000001071012,8.935169483267871e-10,1.3645394532382405e-12,-9.965329670079918e-11
traditional,1.04,38.480000000000004,-0.692974993117599,-8.80616343237236e-10,0.9999999999987353,1.000000000105118,8.833261496391551e-10,1.3457580672788462e-12,-9.866381749456401e-11
traditional,1.04,38.5,-0.6929749930827263,-8.630508870144135e-10,0.9999999999987621,1.0000000001031546,8.732364234364637e-10,1.3272351936233878e-12,-9.768416318373329e-11
traditional,1.04,38.52,-0.6929749930485521,-8.456862192829136e-10,0.9999999999987884,1.0000000001012106,8.632467613457309e-10,1.3089672578118293e-12,-9.671423589194755e-11
traditional,1.04,38.54,-0.6929749930150687,-8.285203552493426e-10,0.9999999999988144,1.0000000000992857,8.533561768859252e-10,1.2909507670105023e-12,-9.575393935726556e-11
traditional,1.04,38.56,-0.692974992982268,-8.115513192836321e-10,0.99999999999884,1.0000000000973803,8.435636893429556e-10,1.2731822509210573e-12,-9.48031777657979e-11
traditional,1.04,38.58,-0.692974992950142,-7.94777159165007e-10,0.9999999999988654,1.0000000000954936,8.338683287165375e-10,1.255658296449681e-12,-9.386185644310147e-11
traditional,1.04,38.6,-0.6929749929186831,-7.781959458652069e-10,0.9999999999988903,1.0000000000936258,8.242691284664233e-10,1.2383755466398967e-12,-9.292988183883206e-11
traditional,1.04,38.62,-0.6929749928878838,-7.618057593646563e-10,0.9999999999989149,1.0000000000917766,8.147651341581364e-10,1.2213306663451634e-12,-9.200716084026723e-11
traditional,1.04,38.64,-0.6929749928577363,-7.456047112648423e-10,0.9999999999989392,1.0000000000899454,8.053554063710365e-10,1.2045203965802922e-12,-9.109360187052662e-11
traditional,1.04,38.660000000000004,-0.6929749928282329,-7.295909219624433e-10,0.9999999999989632,1.0000000000881326,7.960390026712341e-10,1.1879414993866897e-12,-9.01891137789773e-11
traditional,1.04,38.68,-0.6929749927993665,-7.13762534212657e-10,0.9999999999989866,1.000000000086338,7.868150015392434e-10,1.171590790180386e-12,-8.929360649897456e-11
traditional,1.04,38.7,-0.6929749927711295,-6.981177127487431e-10,0.9999999999990099,1.0000000000845608,7.776824883975103e-10,1.1554651367563098e-12,-8.840699103326305e-11
traditional,1.04,38.72,-0.6929749927435146,-6.826546308400497e-10,0.9999999999990329,1.0000000000828015,7.686405561658102e-10,1.1395614272591244e-12,-8.752917880091026e-11
traditional,1.04,38.74,-0.6929749927165146,-6.673714918415264e-10,0.9999999999990555,1.0000000000810596,7.596883094203997e-10,1.1238766208957662e-12,-8.66600826820763e-11
