312.0	4.097538785126337e-8
313.0	4.943071036568227e-8
314.0	5.96601270666101e-8
315.0	7.20440625252611e-8
316.0	8.704708352005706e-8
317.0	1.052373793046072e-7
318.0	1.2731105263856617e-7
319.0	1.5412250553237933e-7
320.0	1.8672257065548775e-7
321.0	2.2640650514229397e-7
322.0	2.7477454862930434e-7
323.0	3.33808446450979e-7
324.0	4.059681213791659e-7
325.0	4.943133877163351e-7
326.0	6.026558805811521e-7
327.0	7.357453239885664e-7
328.0	8.994899685047806e-7
329.0	1.1011993558817742e-6
330.0	1.3498102262905255e-6
331.0	1.655997596236128e-6
332.0	2.0319561707351113e-6
333.0	2.4904286434675484e-6
334.0	3.0422533746067353e-6
335.0	3.6914669147103877e-6
336.0	4.427456584072863e-6
337.0	5.216089013313975e-6
338.0	5.996633111614087e-6
339.0	6.693937609863139e-6
340.0	7.245860658775143e-6
341.0	7.627709428621338e-6
342.0	7.854307318048157e-6
343.0	7.962611369833486e-6
344.0	7.992431984559336e-6
345.0	7.975883061136364e-6
346.0	7.935041438444118e-6
347.0	7.883568941420001e-6
348.0	7.82923737826785e-6
349.0	7.776084826027982e-6
350.0	7.725145014220902e-6
351.0	7.678695715011178e-6
352.0	7.63574084125508e-6
353.0	7.595906145442771e-6
354.0	7.558706230737798e-6
355.0	7.523647750946527e-6
356.0	7.490280204214377e-6
357.0	7.458216880263758e-6
358.0	7.427139420124591e-6
359.0	7.396793920650322e-6
360.0	7.3669831875202045e-6
361.0	7.337557725999477e-6
362.0	7.308406877430707e-6
363.0	7.279450792840612e-6
364.0	7.250633518870073e-6
365.0	7.221917258663604e-6
366.0	7.193277727190392e-6
367.0	7.164700475490663e-6
368.0	7.136178040806096e-6
369.0	7.107707775816521e-6
370.0	7.079290217118068e-6
371.0	7.0509278981833165e-6
372.0	7.022624483678252e-6
373.0	6.994384171689783e-6
374.0	6.966211276179133e-6
375.0	6.93810996374562e-6
376.0	6.910084087449138e-6
377.0	6.882137094837641e-6
378.0	6.854271989428397e-6
379.0	6.826491323169175e-6
380.0	6.7987972163322725e-6
381.0	6.771191386459806e-6
382.0	6.743675186526599e-6
383.0	6.716249645289961e-6
384.0	6.688915508296603e-6
385.0	6.661673275491873e-6
386.0	6.634523239786655e-6
387.0	6.60746551672898e-6
388.0	6.580500074740855e-6
389.0	6.553626760881231e-6
390.0	6.52684532134652e-6
391.0	6.500155421072366e-6
392.0	6.473556659627392e-6
393.0	6.447048584567785e-6
394.0	6.420630701353882e-6
395.0	6.394302563464571e-6
396.0	6.368063448479894e-6
397.0	6.3419128867598925e-6
398.0	6.3158502970096794e-6
399.0	6.289875089998789e-6
400.0	6.26398667124616e-6
401.0	6.2381844447414e-6
402.0	6.212467812847744e-6
403.0	6.186836180690088e-6
404.0	6.1612889558187095e-6
405.0	6.135825549427732e-6
406.0	6.110445378049106e-6
407.0	6.085147863384118e-6
408.0	6.059932432826909e-6
409.0	6.034798520288362e-6
410.0	6.009745566225469e-6
411.0	5.9847730184379914e-6
412.0	5.959880331302113e-6
