Tw,model,variable,z,value,d1_dz,d2_dz2
1.0,Boussinesq,F,2.92,0.061854570005603245,-0.04790132815547343,0.03083752015460295
1.0,Boussinesq,F,2.93,0.06137709865169237,-0.047593355950467764,0.03075472100095844
1.0,Boussinesq,F,2.94,0.06090270288659389,-0.047286233735454264,0.03066849333694943
1.0,Boussinesq,F,2.95,0.06043137397698329,-0.046979986083728775,0.03058094576464665
1.0,Boussinesq,F,2.96,0.05996310316491931,-0.04667461482016133,0.0304923676449409
1.0,Boussinesq,F,2.97,0.05949788168058006,-0.04637013873082996,0.030400895505411363
1.0,Boussinesq,F,2.98,0.0590357003903027,-0.046066596910053104,0.0303063669939041
1.0,Boussinesq,F,2.99,0.058576549742379004,-0.045764011390951875,0.030210655152318466
1.0,Boussinesq,F,3.0,0.058120420162483664,-0.045462383807006734,0.03011403958561587
1.0,Boussinesq,F,3.0100000000000002,0.05766730206623887,-0.04516173059923956,0.03001487475631226
