Tw , x_cheb                , F_i                    , G_i                  , minus_G_i             , H_i                    , T_i               , F_c                   , G_c                    , H_c                    , T_c               , rho_c             , dF_c_minus_i           , dG_c_minus_i_raw      , dG_c_minus_minus_Gi   , dH_c_minus_i           , dT_c_minus_i
1.0,  0.0                  , 0.0                    , 0.0                  , -0.0                  , -2.876322978925248e-23 , 1.0               , -0.0                  , -0.0                   , -3.3262304882248815e-25, 1.0               , 1.0               , -0.0                   , -0.0                  , 0.0                   , 2.843060674042999e-23  , 0.0
1.0,  0.0008224766983405118, 0.00041555894111501487 , 0.0005065675149843275, -0.0005065675149843275, -4.169128520352568e-06 , 1.0               , 0.00020900259057172433, -0.0002532853896925094 , -8.371311308245412e-07 , 1.0000034462677339, 0.9999965537441429, -0.00020655635054329054, -0.0007598529046768369, 0.0002532821252918181 , 3.3319973895280266e-06 , 3.4462677338531478e-06
1.0,  0.003290271905513862 , 0.001662420238524191   , 0.0020264949343389905, -0.0020264949343389905, -1.6678364832304892e-05, 1.0               , 0.0008361031422838655 , -0.0010132539966954408 , -3.348896140815285e-06 , 1.0000137866007957, 0.9999862135892721, -0.0008263170962403255 , -0.003039748931034431 , 0.0010132409376435497 , 1.3329468691489606e-05 , 1.3786600795651083e-05
1.0,  0.0074044802600432905, 0.00374113696178748    , 0.0045604564514090925, -0.0045604564514090925, -3.753325765072747e-05 , 1.0               , 0.0018815798177731992 , -0.00228024291985365   , -7.53640917215602e-06  , 1.0000310255858407, 0.9999689753767165, -0.0018595571440142807 , -0.006840699371262742 , 0.0022802135315554426 , 2.999684847857145e-05  , 3.102558584067161e-05
1.0,  0.013166923829594227 , 0.006621348979547725   , 0.008109256616572772 , -0.008109256616572772 , -9.843220552190685e-05 , 1.0               , 0.004633513037892461  , -0.005645644984883581  , -4.4273365335966457e-05, 1.0000764009563257, 0.9999236048803345, -0.0019878359416552636 , -0.013754901601456353 , 0.0024636116316891915 , 5.415884018594039e-05  , 7.64009563256618e-05
1.0,  0.020580148604228004 , 0.010288021859122773   , 0.012674239853631405 , -0.012674239853631405 , -0.00021587967717583522, 1.0               , 0.008321542520205975  , -0.010210416233369914  , -0.00013972369809592833, 1.000137209618397 , 0.9998628092054996, -0.0019664793389167975 , -0.02288465608700132  , 0.002463823620261492  , 7.615597907990689e-05  , 0.00013720961839691626
1.0,  0.02964741956309527  , 0.014691275979256888   , 0.018256104385510747 , -0.018256104385510747 , -0.0004415172820610103 , 1.0               , 0.012757298798963743  , -0.015791995681291325  , -0.00033191447367476244, 1.0002103473082773, 0.9997896969284077, -0.001933977180293145  , -0.034048100066802076 , 0.002464108704219422  , 0.00010960280838624785 , 0.0002103473082772922
1.0,  0.04037271429085489  , 0.01979622378995639    , 0.02485546269640231  , -0.02485546269640231  , -0.0008116718717257865 , 1.0               , 0.01790338487833222   , -0.022391027686978694  , -0.0006597737288213459 , 1.0002952029431043, 0.9997048841759556, -0.0018928389116241694 , -0.047246490383381    , 0.0024644350094236156 , 0.0001518981429044406  , 0.00029520294310425577
1.0,  0.052760715113464834 , 0.025548960156627627   , 0.03247182217153629  , -0.03247182217153629  , -0.0013813128616716945 , 1.0               , 0.023708130485863402  , -0.030007191423954877  , -0.0011761555729314084 , 1.0003909359165466, 0.9996092168546206, -0.001840829670764224  , -0.06247901359549117  , 0.0024646307475814123 , 0.0002051572887402861  , 0.00039093591654659754
1.0,  0.06681679971652472  , 0.031910480245870176   , 0.041104664356690794 , -0.041104664356690794 , -0.002190224708655246  , 1.0               , 0.030119426702418753  , -0.038639265954687106  , -0.001933769232376779  , 1.0004967044853894, 0.9995035421074726, -0.0017910535434514235 , -0.0797439303113779   , 0.002465398402003688  , 0.00025645547627846724 , 0.0004967044853894098
1.0,  0.08254703020303797  , 0.03881662965856954    , 0.05075106797683924  , -0.05075106797683924  , -0.00330212499214362   , 1.0               , 0.03707774905753072   , -0.04828447802184989   , -0.002991819073252824  , 1.0006115541933207, 0.9993888195766301, -0.0017388806010388141 , -0.09903554599868913  , 0.0024665899549893497 , 0.0003103059188907958  , 0.0006115541933207069
1.0,  0.09995814054134     , 0.04620771910863794    , 0.061407071950665096 , -0.061407071950665096 , -0.00477543466181239   , 1.0               , 0.04451963248891133   , -0.05893826825846832   , -0.004412277826119368  , 1.0007344744732016, 0.9992660645836267, -0.0016880866197266087 , -0.12034534020913341  , 0.0024688036921967776 , 0.0003631568356930216  , 0.0007344744732016295
1.0,  0.11905752234809402  , 0.053995944447432324   , 0.07306374339979238  , -0.07306374339979238  , -0.006693603543099179  , 1.0               , 0.05237119856497023   , -0.07059310992842098   , -0.006265618824173884  , 1.0008642974622626, 0.9991364489027593, -0.0016247458824620933 , -0.14365685332821337  , 0.0024706334713714    , 0.0004279847189252945  , 0.0008642974622625754
1.0,  0.13985320894567765  , 0.06212669136639417    , 0.08571314165985977  , -0.08571314165985977  , -0.009106937307099109  , 1.0               , 0.06056385282253613   , -0.08323962209190658   , -0.008615577620761719  , 1.0009999501984408, 0.9990010487031068, -0.0015628385438580389 , -0.16895276375176635  , 0.002473519567953192  , 0.0004913596863373899  , 0.000999950198440791
1.0,  0.16235385762806478  , 0.07050735702344411    , 0.099339918594341    , -0.099339918594341    , -0.012098990148606673  , 1.0               , 0.06901663459562926   , -0.09686409055107947   , -0.011535333219053935  , 1.0011401734679952, 0.9988611250470095, -0.0014907224278148529 , -0.19620400914542047  , 0.0024758280432615326 , 0.0005636569295527378  , 0.0011401734679952202
