zmax,Hinf,Tw,Fp0,Gp0,Tp0,nodes
40.0,-0.75,1.0322415334083317,0.4904326442110557,0.5982263645857488,-0.010108985912204847,1119.0
40.0,-0.7475,1.0326473863213645,0.49018834189898963,0.597977529442222,-0.010228655321903882,1118.0
40.0,-0.745,1.0330469390578385,0.4899480757015595,0.5977315423999618,-0.010346222124926642,1118.0
40.0,-0.7425,1.0334402315016447,0.48971181975169753,0.5974883976782779,-0.010461705322220368,1118.0
40.0,-0.74,1.0338273034505228,0.4894795481976332,0.5972480893847351,-0.010575123786030744,1118.0
40.0,-0.7375,1.0342081946162214,0.4892512352035653,0.5970106115154841,-0.010686496260577496,1118.0
40.0,-0.735,1.0345829446246164,0.48902685495036263,0.5967759579556021,-0.010795841362720174,1118.0
40.0,-0.7325,1.0349515930158715,0.488806381636236,0.5965441224794186,-0.010903177582637915,1118.0
40.0,-0.73,1.035314179244557,0.4885897894774291,0.5963150987508746,-0.011008523284499444,1118.0
40.0,-0.7275,1.035670742679814,0.48837705270888854,0.5960888803238421,-0.011111896707148176,1119.0
40.0,-0.725,1.0360213226054373,0.48816814558493105,0.5958654606425373,-0.011213315964762646,1118.0
40.0,-0.7225,1.0363659582200992,0.48796304237992,0.5956448330420552,-0.011312799047566472,1118.0
40.0,-0.72,1.0367046886373994,0.48776171738893304,0.5954269907483719,-0.011410363822481485,1118.0
40.0,-0.7175,1.037037552886045,0.4875641449284121,0.5952119268790529,-0.011506028033825368,1118.0
40.0,-0.715,1.0373645899099635,0.4873702993368277,0.5949996344435842,-0.011599809303990363,1118.0
40.0,-0.7125,1.0376858385684533,0.4871801549753209,0.5947901063437826,-0.011691725134133512,1118.0
40.0,-0.71,1.0380013376362958,0.4869936862283604,0.5945833353742357,-0.011781792904858666,1118.0
40.0,-0.7075,1.0383111258039017,0.4868108675043757,0.5943793142227329,-0.011870029876908906,1118.0
40.0,-0.705,1.038615241677438,0.48663167323639545,0.5941780354707147,-0.011956453191855622,1118.0
40.0,-0.7025,1.0389137237789554,0.4864560778826819,0.5939794915937314,-0.012041079872788489,1118.0
40.0,-0.7,1.0392066105465212,0.48628405592735496,0.5937836749619084,-0.012123926825008855,1118.0
40.0,-0.6975,1.0394939403343524,0.4861155818810117,0.5935905778404178,-0.012205010836724416,1118.0
40.0,-0.695,1.0397757514129393,0.4859506302813458,0.5934001923899651,-0.012284348579742676,1118.0
40.0,-0.6925,1.040052081969184,0.4857891756937524,0.5932125106672756,-0.01236195661016943,1118.0
40.0,-0.69,1.0403229701065273,0.4856311927119346,0.5930275246255952,-0.012437851369105803,1118.0
40.0,-0.6875,1.0405884538450774,0.48547665595850237,0.5928452261151977,-0.012512049183346705,1118.0
40.0,-0.685,1.0408485711217494,0.4853255400855605,0.5926656068838954,-0.012584566266083215,1118.0
40.0,-0.6825,1.0411033597903858,0.48517781977530117,0.5924886585775665,-0.012655418717601168,1118.0
40.0,-0.6799999999999999,1.0413528576219044,0.4850334697405737,0.5923143727406742,-0.012724622525988603,1118.0
