T,mu_chapman,mu_sutherland,mu_relative_difference_percent,rho_mu_chapman,rho_mu_sutherland,rho_mu_relative_difference_percent
1.0,1.0,1.0,0.0,1.0,1.0,0.0
1.1,1.1,1.0776681792566585,-2.0301655221219645,1.0,0.9796983447787804,-2.0301655221219628
1.5,1.5,1.3580981811706159,-9.460121255292275,1.0,0.9053987874470772,-9.460121255292275
2.0,2.0,1.658486814055721,-17.075659297213953,1.0,0.8292434070278605,-17.075659297213953
