degree,mapping_scale,Hinf,Tw,Fp0,Gp0,Tp0,thermal_tail_length,residual_inf,newton_iterations,nearest_fold_distance_Hinf
80,12.0,-0.75,1.0322415262240634,0.4904326485674897,0.5982263687335158,-0.010108983771563843,1.8518518518518516,1.4214434074233395e-09,1,0.21723844816758875
80,12.0,-0.74,1.03382730123142,0.4894795493722368,0.59724809334262,-0.010575124150098716,1.876876876876877,8.453120148299575e-10,3,0.20723844816758874
80,12.0,-0.73,1.035314180886751,0.48858978831756605,0.5963151001983805,-0.011008524748338758,1.9025875190258754,8.365169945623308e-10,3,0.19723844816758873
80,12.0,-0.72,1.0367046788851844,0.4877617229877975,0.5954269993774078,-0.011410361974261221,1.9290123456790125,8.288438269055121e-10,3,0.18723844816758872
80,12.0,-0.71,1.038001321392048,0.4869936956288239,0.5945833481671509,-0.011781789191293982,1.9561815336463224,8.188877076431567e-10,3,0.1772384481675887
80,12.0,-0.7,1.0392066021079733,0.4862840607104175,0.5937836823935628,-0.012123925306317077,1.9841269841269842,8.083373970180219e-10,3,0.1672384481675887
80,12.0,-0.69,1.0403229519890838,0.48563120315932196,0.5930275382890985,-0.012437847095005353,2.0128824476650564,8.001670576129882e-10,3,0.1572384481675887
80,12.0,-0.68,1.0413528284369031,0.4850334866141086,0.5923143936792515,-0.012724615141185794,2.042483660130719,7.917355243636237e-10,3,0.1472384481675888
80,12.0,-0.67,1.0422986541447687,0.48448929023191223,0.5916437087900542,-0.012985257089970517,2.0729684908789388,7.810431329469125e-10,3,0.1372384481675888
80,12.0,-0.66,1.0431628198645386,0.48399700748424834,0.5910149258801477,-0.013220769270522695,2.1043771043771042,7.696890624853125e-10,3,0.12723844816758878
80,12.0,-0.65,1.043947709849647,0.4835550322118456,0.5904274517208657,-0.013432124359686284,2.1367521367521367,7.564105175550395e-10,3,0.11723844816758877
80,12.0,-0.64,1.044655672308402,0.48316177604621124,0.5898806798401625,-0.013620264034633081,2.170138888888889,7.467100410218919e-10,3,0.10723844816758876
80,12.0,-0.63,1.045289046783343,0.48281565352491373,0.5893739709602196,-0.013786107058043243,2.204585537918871,7.368306381705381e-10,3,0.09723844816758875
80,12.0,-0.62,1.0458501595597969,0.4825150856462921,0.5889066559226693,-0.013930548566880432,2.2401433691756276,7.253459638478787e-10,3,0.08723844816758874
80,12.0,-0.61,1.0463412853369791,0.48225852074711106,0.5884780689687178,-0.014054450981878588,2.276867030965392,7.12703354666111e-10,3,0.07723844816758874
80,12.0,-0.6,1.0467647076894449,0.4820444025371522,0.5880874984173362,-0.014158660298979456,2.314814814814815,6.998856494355721e-10,3,0.06723844816758873
80,12.0,-0.598,1.046841459619304,0.4820065417244246,0.588013883476164,-0.014177208805980016,2.322556670382758,6.755291450609676e-12,3,0.06523844816758873
80,12.0,-0.596,1.0469156152375128,0.4819703015294561,0.5879417567482209,-0.014195010940018918,2.330350484712901,2.1604154038054718e-11,3,0.06323844816758872
80,12.0,-0.594,1.046987187911961,0.48193567346009303,0.5878711108579916,-0.014212070909782895,2.3381967826412273,2.688135913480555e-11,3,0.06123844816758872
80,12.0,-0.592,1.0470562075172916,0.4819026395601087,0.5878019277734966,-0.014228397931522821,2.346096096096096,7.916770895202563e-12,3,0.05923844816758872
80,12.0,-0.59,1.04712266961748,0.481871198293522,0.5877342238070492,-0.01424399308071618,2.354048964218456,1.569243830402713e-11,3,0.05723844816758872
80,12.0,-0.588,1.0471866061702813,0.48184133070835156,0.5876679787349902,-0.014258866013809282,2.362055933484505,8.016513576485057e-12,3,0.055238448167588716
80,12.0,-0.586,1.0472480364649208,0.4818130239993472,0.5876031847317004,-0.014273023337940074,2.3701175578308686,3.157014748667227e-11,3,0.053238448167588714
80,12.0,-0.584,1.0473069662135945,0.48178627154332077,0.5875398484564146,-0.014286468528515187,2.378234398782344,1.0729706014159674e-11,3,0.05123844816758871
80,12.0,-0.582,1.0473634270965837,0.4817610548514679,0.5874779488492715,-0.014299210988345593,2.3864070255822836,3.1075773672300006e-11,3,0.04923844816758871
80,12.0,-0.58,1.0474174264558562,0.4817373664735314,0.5874174909748812,-0.014311254544357624,2.3946360153256707,7.884228040974715e-12,3,0.04723844816758871
80,12.0,-0.578,1.0474689851818288,0.4817151928399559,0.5873584652028138,-0.014322606080289305,2.4029219530949635,2.863479622145469e-12,3,0.04523844816758871
80,12.0,-0.576,1.047518128285852,0.48169451878480274,0.5873008566241916,-0.014333273303653485,2.4112654320987654,2.9536941947242616e-12,3,0.043238448167588706
80,12.0,-0.574,1.0475648579259318,0.4816753387333641,0.5872446771305514,-0.014343258944525886,2.4196670538133955,2.9172404305337935e-11,3,0.041238448167588704
80,12.0,-0.572,1.047609203882094,0.48165763554973395,0.5871899060249733,-0.014352571685056617,2.4281274281274285,3.6984525023059526e-11,3,0.0392384481675887
80,12.0,-0.57,1.0476511817821432,0.48164139807066686,0.5871365390981312,-0.014361217105677795,2.436647173489279,5.7158150077617735e-12,3,0.0372384481675887
80,12.0,-0.568,1.047690808575673,0.48162661458381617,0.5870845705228286,-0.014369201047960203,2.4452269170579033,5.635453561373798e-12,3,0.0352384481675887
80,12.0,-0.566,1.0477280962634252,0.481613275089841,0.5870340013012504,-0.014376528377927869,2.4538672948566944,2.9522327983975927e-11,3,0.0332384481675887
80,12.0,-0.564,1.0477630700035963,0.48160136485491023,0.5869848146408488,-0.014383206529335738,2.4625689519306544,1.1782146368130756e-11,3,0.031238448167588695
80,12.0,-0.562,1.0477957402356277,0.48159087431707626,0.5869370139280706,-0.014389240055227973,2.4713325425069197,8.761321610049124e-12,3,0.029238448167588804
80,12.0,-0.56,1.0478261311721468,0.48158178934935236,0.5868905827814347,-0.01439463607262799,2.4801587301587302,1.8699127749524035e-11,3,0.027238448167588802
80,12.0,-0.558,1.047854255284434,0.48157409957583575,0.5868455220016339,-0.014399399515203484,2.489048187972919,9.244966955946677e-12,3,0.0252384481675888
80,12.0,-0.556,1.0478801293253797,0.48156779312820586,0.5868018264265681,-0.014403536122661834,2.4980015987210233,1.4296353886147785e-11,3,0.0232384481675888
80,12.0,-0.554,1.0479037767310888,0.48156285669675203,0.5867594790371969,-0.014407052621512165,2.5070196550340955,1.840456917500247e-11,3,0.021238448167588797
80,12.0,-0.552,1.0479252101192549,0.48155927962505274,0.5867184809720479,-0.014409953981119841,2.5161030595813205,4.988357174631581e-12,3,0.019238448167588795
80,12.0,-0.55,1.0479444466454377,0.48155705000636395,0.5866788260997909,-0.014412245921638103,2.525252525252525,2.501332922824281e-11,3,0.017238448167588794
80,12.0,-0.548,1.0479615050242306,0.481556155879038,0.586640504672206,-0.014413934288275712,2.5344687753446875,1.2542022432073896e-11,3,0.015238448167588792
80,12.0,-0.546,1.047976400981063,0.48155658554698455,0.5866035132881807,-0.014415024572902738,2.5437525437525434,2.473370654260627e-11,3,0.01323844816758879
80,12.0,-0.544,1.0479891525777907,0.4815583272161037,0.5865678431958324,-0.014415522472821365,2.5531045751633985,1.4181654877975223e-11,3,0.011238448167588788
80,12.0,-0.542,1.0479997766433256,0.4815613690862399,0.586533488585245,-0.014415433564029925,2.5625256252562525,2.1679434156873762e-12,3,0.009238448167588786
80,12.0,-0.54,1.048008290931028,0.48156569976821473,0.5865004401880564,-0.014414763348857676,2.5720164609053495,5.3121356055271796e-12,3,0.007238448167588785
80,12.0,-0.538,1.0480147116168184,0.48157130724489683,0.5864686943162974,-0.014413517376813914,2.581577860388269,1.0223963701915157e-11,3,0.005238448167588783
80,12.0,-0.536,1.0480190559324476,0.48157817974843553,0.5864382439794001,-0.014411701188881423,2.5912106135986734,3.1539882268080394e-11,3,0.003238448167588781
80,12.0,-0.534,1.0480213410095003,0.4815863053561191,0.5864090828551399,-0.014409320343437074,2.600915522263837,6.993426031376402e-12,3,0.0012384481675887793
80,12.0,-0.532,1.0480215840387015,0.481595673900582,0.5863811993237485,-0.014406379833947838,2.6106934001670843,1.2970177417957975e-11,3,0.0007615518324112225
80,12.0,-0.53,1.048019801717574,0.48160627212584917,0.5863545919138199,-0.014402885567809179,2.620545073375262,3.5175694523619064e-12,3,0.0027615518324112243
80,12.0,-0.528,1.0480160105764833,0.48161809031134517,0.5863292492197291,-0.014398842303611062,2.6304713804713806,2.058725634570178e-11,3,0.004761551832411226
80,12.0,-0.526,1.0480102287177129,0.4816311135518525,0.5863051711319566,-0.014394256548105958,2.6404731727925643,1.1226121719493277e-11,3,0.006761551832411228
