Tw , z                   , F_i                    , G_i                 , minus_G_i            , H_i                    , T_i               , dF_i                   , dG_i                  , dH_i                   , dT_i                   , Hinf_i             , Fp0_i             , Gp0_i             , Tp0_i
1.0,  0.0                , 0.0                    , 0.0                 , -0.0                 , -2.876322978925248e-23 , 1.0               , 0.5102326166121329     , 0.615922010879084     , -0.0                   , 1.5868519929416212e-22 , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.01               , 0.005052531481481196   , 0.00615905004976329 , -0.00615905004976329 , -5.0689928708795063e-05, 1.0               , 0.5002940823399825     , 0.6158714256988956    , -0.010105062962962392  , 1.5868517986954515e-22 , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.02               , 0.01000628971022754    , 0.012317097011882234, -0.012317097011882234, -0.0002014427708421309 , 1.0               , 0.49047796709002534    , 0.6157213899107234    , -0.02001257942045508   , 1.5868504536903355e-22 , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.03               , 0.014862496324223106   , 0.018473154945080537, -0.018473154945080537, -0.0004502911905141101 , 1.0               , 0.4807834989963078     , 0.6154744672141856    , -0.029724992648446212  , 1.586846822169811e-22  , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.04               , 0.019622362566334338   , 0.024626271732964205, -0.024626271732964205, -0.0007953003544728867 , 1.0               , 0.4712098937377644     , 0.615133157615898     , -0.039244725132668676  , 1.58683979818787e-22   , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.05               , 0.024287094450461098   , 0.03077551175572834 , -0.03077551175572834 , -0.001234551482068467  , 1.0               , 0.4617563610902541     , 0.6146999299796839    , -0.048574188900922195  , 1.5868282904331965e-22 , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.06               , 0.028857887358472625   , 0.036919971962920815, -0.036919971962920815, -0.0017661578723382506 , 1.0               , 0.45242209951022927    , 0.6141771915443716    , -0.05771577471694525   , 1.5868112367320783e-22 , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.07               , 0.03333593132974804    , 0.04305876519110646 , -0.04305876519110646 , -0.0023882486685354865 , 1.0               , 0.44320630210232886    , 0.6135673194062614    , -0.06667186265949608   , 1.5867875892209198e-22 , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.08               , 0.03772240555749771    , 0.049191035629866035, -0.049191035629866035, -0.0030989846601457817 , 1.0               , 0.4341081517415986     , 0.6128726310349625    , -0.07544481111499542   , 1.5867563285366975e-22 , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.09               , 0.042018483789183755   , 0.05531594276725482 , -0.05531594276725482 , -0.003896542269614028  , 1.0               , 0.42512682647956773    , 0.6120954147205745    , -0.08403696757836751   , 1.5867164493232304e-22 , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.1                , 0.04622532873384294    , 0.061432676265967455, -0.061432676265967455, -0.004779129122601037  , 1.0               , 0.41626149518311334    , 0.611237901058635     , -0.09245065746768588   , 1.5866669741333034e-22 , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.11               , 0.05034409756130631    , 0.06754044051881418 , -0.06754044051881418 , -0.005744968263946827  , 1.0               , 0.40751132240165       , 0.610302292393026     , -0.10068819512261262   , 1.586606939243345e-22  , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.12               , 0.05437593623172866    , 0.07363846895165649 , -0.07363846895165649 , -0.006792313490041657  , 1.0               , 0.39887546450105615    , 0.6092907352422774    , -0.10875187246345731   , 1.5865354082717454e-22 , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.13               , 0.0583219850819548     , 0.07972600917149715 , -0.07972600917149715 , -0.007919433800479724  , 1.0               , 0.39035307401427016    , 0.6082053487678764    , -0.1166439701639096    , 1.5864514582938326e-22 , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.14               , 0.06218337308805042    , 0.08580233671247457 , -0.08580233671247457 , -0.009124628486968447  , 1.0               , 0.38194329624904566    , 0.6070481981152523    , -0.12436674617610084   , 1.586354193198494e-22  , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.15               , 0.06596122352758971    , 0.09186674075952288 , -0.09186674075952288 , -0.010406211826559139  , 1.0               , 0.3736452731438886     , 0.605821321935942     , -0.13192244705517941   , 1.5862427300805646e-22 , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.16               , 0.0696566481855739     , 0.09791853735340442 , -0.09791853735340442 , -0.011762527922052214  , 1.0               , 0.36545814032878177    , 0.6045267066175778    , -0.1393132963711478    , 1.5861162123352682e-22 , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.17               , 0.07327075308183996    , 0.10395705567324508 , -0.10395705567324508 , -0.013191935642140534  , 1.0               , 0.3573810305080078     , 0.6031663128872317    , -0.14654150616367992   , 1.5859737963252146e-22 , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
1.0,  0.18               , 0.0768046326303472     , 0.10998165071628271 , -0.10998165071628271 , -0.014692823208785923  , 1.0               , 0.3494130709533795     , 0.6017420509056506    , -0.1536092652606944    , 1.585814664232817e-22  , -0.8844734130628201, 0.5102326166121329, 0.615922010879084 , 1.5868519929416212e-22
