Tw,model,variable,wall_value,edge_value,wall_d1,edge_d1,max_abs_d1,z_max_abs_d1,max_abs_d2,z_max_abs_d2,inflection_count,inflection_z
1.0,Boussinesq,F,0.0,-2.557171510364432e-26,0.5101918107848622,-1.6994526400454594e-08,0.5101918107848622,0.0,0.9907866223087183,0.2,1,1.815385
1.0,Boussinesq,G_compare,-0.0,-1.0,-0.6159551593585464,-2.2090915763328667e-08,0.6159551593585464,0.0,0.2874821098158584,0.76,0,
1.0,Boussinesq,H,-2.876322978925248e-23,-0.8844734130628201,-6.584719965246726e-05,1.0231815394945443e-12,0.36152289088184375,0.92,1.0055474739601513,0.2,1,0.924556
1.0,Boussinesq,T,1.0,1.0,0.0,0.0,7.105427357601002e-15,0.02,3.5527136788006357e-13,0.5700000000000001,0,
1.0,Compressible,F,-0.0,1.9446505890087413e-08,0.20646893823289325,-1.719604905265748e-08,0.49434085342507694,0.02,24.67162187874293,0.2,0,
1.0,Compressible,G_compare,-0.0,-0.9999999747218719,-0.24640152184486597,-2.235279339402041e-08,0.615683517597372,0.02,30.788031507845073,0.76,0,
1.0,Compressible,H,-3.3262304882248815e-25,-0.8844740937664585,0.0024003427553431177,-2.1337882571970113e-08,0.36162101008692815,0.93,0.969349495043862,0.2,1,0.928937
1.0,Compressible,T,1.0,1.0000000311567605,0.003404631540945502,-1.9838211073874845e-08,0.00815080210909258,0.02,0.40676458780986025,0.2,0,
1.1,Boussinesq,F,0.0,-3.107985748825951e-25,0.5721736395136969,-7.713105498013421e-08,0.5721736395136969,0.0,1.0898683857496039,0.2,1,1.884926
1.1,Boussinesq,G_compare,-0.0,-1.0,-0.6594037713736673,-6.103562100179261e-10,0.6594037713736673,0.0,0.32219301321330107,0.76,0,
1.1,Boussinesq,H,1.0313723863532e-24,-1.0898391861964227,-7.243224633276917e-05,5.6274984672199935e-12,0.41690083170906256,0.96,1.1280274532686905,0.2,1,0.959515
1.1,Boussinesq,T,1.1,1.0,-0.036036442456762074,-2.565289491940348e-08,0.036036442456762074,0.0,0.011130497653510929,1.93,0,
1.1,Compressible,F,-0.0,2.334425985429802e-08,0.1598861778619654,-2.0653441212984798e-08,0.45126400270336736,0.02,24.809377219062416,0.21,0,
1.1,Compressible,G_compare,-0.0,-0.9999999696552587,-0.19037288427031973,-2.6847033041121904e-08,0.5600262484082932,0.02,30.804612286848464,0.91,0,
1.1,Compressible,H,-3.65885353704737e-25,-0.8844745811747737,0.0024485703409404085,2.869251432002784e-07,0.35489030708974845,0.99,0.8889619717868329,0.2,1,0.985564
1.1,Compressible,T,1.1,1.0000005921930422,-0.007524855664406971,-3.7720428736065514e-07,0.028436107237467922,0.9500000000000001,1.2355017014190395,0.2,1,1.070038
1.2,Boussinesq,F,0.0,7.037901452019779e-26,0.633012328865643,-2.560552598564976e-08,0.633012328865643,0.0,1.1890408519442346,0.2,1,1.919692
1.2,Boussinesq,G_compare,-0.0,-1.0,-0.6944187506806222,-6.411937647499144e-11,0.6944187506806222,0.0,0.3543529103145815,0.75,0,
1.2,Boussinesq,H,-2.4070751916840362e-24,-1.2138285203858057,-7.90253474728022e-05,2.1032064978498966e-12,0.46812523087061564,0.97,1.2482195428635294,0.2,1,0.972689
1.2,Boussinesq,T,1.2,0.9999999999999999,-0.07677460556221405,-1.0575490705377888e-08,0.07677460556221405,0.0,0.025411942488062778,1.86,0,
1.2,Compressible,F,-0.0,2.802332467830235e-08,0.12106663072753743,-2.4782138283877548e-08,0.41497624219459933,0.02,24.937030388658087,0.2,0,
1.2,Compressible,G_compare,-0.0,-0.9999999635730346,-0.1436822950445507,-3.221384758944623e-08,0.5136737838180445,0.04,30.814720622778133,0.9500000000000001,0,
1.2,Compressible,H,-3.9914765858698574e-25,-0.8844752057865798,0.00249708640755801,6.819456359608012e-07,0.34916157498353506,1.04,0.8145288254653936,0.2,1,1.041806
1.2,Compressible,T,1.2,1.0000013103512064,-0.013341992516750167,-8.34375896374695e-07,0.05396408490404525,0.9,2.8789232036999124,2.63,0,
1.3,Boussinesq,F,0.0,8.582806648804608e-28,0.692368403924919,-9.828330739916133e-09,0.692368403924919,0.0,1.288261856612273,0.2,1,1.924015
1.3,Boussinesq,G_compare,-0.0,-1.0,-0.7244417308392592,-1.1397105481592007e-11,0.7244417308392592,0.0,0.3841799687553049,0.73,0,
1.3,Boussinesq,H,-2.1743832720892237e-23,-1.307120954962315,-8.562275713742441e-05,8.526512829121202e-13,0.5154192733240492,0.97,1.3654455420741685,0.2,1,0.974247
1.3,Boussinesq,T,1.3,0.9999999999999999,-0.12098163716528632,-4.706237177742878e-09,0.12098163716528632,0.0,0.04228019717871234,1.8,0,
1.3,Compressible,F,-0.0,3.3640195994283936e-08,0.10368729933255244,-2.975093558754749e-08,0.3802151822628627,0.02,22.899683663604872,0.2,0,
1.3,Compressible,G_compare,-0.0,-0.9999999562717742,-0.12307141430073992,-3.867265263579611e-08,0.4745653382726127,0.06,28.222608989436974,1.21,0,
1.3,Compressible,H,-4.324099634692346e-25,-0.884475996511813,0.002299525384430865,1.1823437375824142e-06,0.3442340691843526,1.1,0.7558616986150584,0.2,1,1.098267
1.3,Compressible,T,1.3,1.0000022187173778,-0.017997628254107667,-1.4128370082744368e-06,0.07643885136160122,0.96,4.142348628095505,2.85,0,
1.4,Boussinesq,F,0.0,3.559340404357205e-27,0.7502896611997006,-4.2785735658354194e-09,0.7502896611997006,0.0,1.3875138663270192,0.2,1,1.911277
1.4,Boussinesq,G_compare,-0.0,-1.0,-0.750970575297268,-2.7853275241795927e-12,0.750970575297268,0.0,0.4120479708523881,0.72,0,
1.4,Boussinesq,H,2.3246536847685637e-23,-1.3833511325521377,-9.222291769318998e-05,3.979039320256561e-13,0.5593509710074152,0.97,1.4798013554346356,0.2,1,0.969566
1.4,Boussinesq,T,1.4,1.0,-0.16801163726962898,-2.2941151200939203e-09,0.16801163726962898,0.0,0.06139382463175025,1.74,0,
1.4,Compressible,F,-0.0,4.0382840899355245e-08,0.10324847782988217,-3.5725980170287655e-08,0.3527793327313535,0.03,19.14899942963239,0.2,0,
1.4,Compressible,G_compare,-0.0,-0.9999999475071427,-0.12306548351776636,-4.6439510015261476e-08,0.4411058984670755,0.09,23.57139219744241,1.24,0,
1.4,Compressible,H,-4.656722683514834e-25,-0.8844769876707655,0.001856208186492245,1.8101439138717978e-06,0.3399603263563389,1.1500000000000001,0.7011223516948896,0.2,1,1.154715
1.4,Compressible,T,1.4,1.0000033565751796,-0.024573353032877776,-2.1379134125254495e-06,0.09632300585154496,1.05,4.717604626864613,3.16,0,
1.5,Boussinesq,F,0.0,3.540407742631901e-27,0.8068862914328172,-2.049329249711068e-09,0.8068862914328172,0.0,1.4867871565955824,0.2,1,1.889394
1.5,Boussinesq,G_compare,-0.0,-1.0,-0.774865629043246,-8.242295734817162e-13,0.774865629043246,0.0,0.43818608493708666,0.72,0,
1.5,Boussinesq,H,4.579548163378263e-24,-1.4484776288923742,-9.882496532785667e-05,1.1368683772161603e-13,0.600433139361062,0.96,1.591507537191195,0.2,1,0.961316
1.5,Boussinesq,T,1.5,1.0,-0.21744746237665424,-1.2045404673699522e-09,0.21744746237665424,0.0,0.08253090951058084,1.69,0,
1.5,Compressible,F,-0.0,4.8477024870781434e-08,0.10287638455811357,-4.286444462013085e-08,0.33020858476245246,0.03,15.896391766216587,0.22,0,
1.5,Compressible,G_compare,-0.0,-0.999999936985672,-0.12307049288047883,-5.571868655351864e-08,0.41213710352217503,0.11,19.537876815605955,1.48,0,
1.5,Compressible,H,-4.989345732337322e-25,-0.8844782199480263,0.0014129612079268874,2.5895300552747358e-06,0.3362327776068952,1.21,0.6775344620947044,0.2,1,1.211288
1.5,Compressible,T,1.5,1.0000047705004502,-0.031150453125775357,-3.0373497850177955e-06,0.11407372397034976,1.17,4.952917888419961,3.45,0,
1.6,Boussinesq,F,0.0,-9.781875224740546e-28,0.8622732699480937,-1.056769485667145e-09,0.8622732699480937,0.0,1.5860756338152626,0.2,1,1.863838
1.6,Boussinesq,G_compare,-0.0,-1.0,-0.7966837051292491,-3.126388037344441e-13,0.7966837051292491,0.0,0.4629041217452077,0.7000000000000001,0,
1.6,Boussinesq,H,2.108833085712395e-25,-1.5057062466649944,-0.00010542835882757645,1.1368683772161603e-13,0.6391032679371449,0.9500000000000001,1.7007941462356246,0.2,1,0.951111
1.6,Boussinesq,T,1.6,1.0,-0.26899253255119504,-6.710934030706994e-10,0.26899253255119504,0.0,0.10551291060387769,1.6500000000000001,0,
1.6,Compressible,F,-0.0,5.819345326305343e-08,0.1025570675596909,-5.1471987056387385e-08,0.31033946181850847,0.03,13.060197550029674,0.21,0,
1.6,Compressible,G_compare,-0.0,-0.9999999243554774,-0.12308261231120926,-6.690743248327635e-08,0.3867968857190669,0.13,16.005972858748528,1.55,0,
1.6,Compressible,H,-5.321968781159811e-25,-0.8844797414842659,0.0009697713199157501,3.5536284315185185e-06,0.33294911832989804,1.27,0.6258520509946242,0.2,1,1.267924
1.6,Compressible,T,1.6,1.0000065156138955,-0.037729648558809004,-4.1493807430015295e-06,0.130058939316541,1.29,4.911315182461351,3.68,0,
1.7,Boussinesq,F,0.0,3.549874073494553e-28,0.9165564306659046,-5.778486571716424e-10,0.9165564306659046,0.0,1.6853751953670013,0.2,1,1.837416
1.7,Boussinesq,G_compare,-0.0,-1.0,-0.8168117127150982,-1.1368683772161603e-13,0.8168117127150982,0.0,0.4864584267950889,0.6900000000000001,0,
1.7,Boussinesq,H,-2.5555726776857997e-23,-1.5569836416436018,-0.00011203273386485926,8.526512829121202e-14,0.6757095144441649,0.9400000000000001,1.8078729232769744,0.2,1,0.940442
1.7,Boussinesq,T,1.7,1.0,-0.3224232780637948,-3.923332769772969e-10,0.3224232780637948,0.0,0.13020511081727193,1.61,0,
1.7,Compressible,F,-0.0,6.98573629350481e-08,0.10232258009407735,-6.179316364126902e-08,0.29275298164585517,0.03,10.541638112219557,0.2,0,
1.7,Compressible,G_compare,-0.0,-0.9999999091937892,-0.1230959840941224,-8.032375831135141e-08,0.36444004112788164,0.16,12.889107864028123,1.6300000000000001,0,
1.7,Compressible,H,-5.654591829982298e-25,-0.8844816091897872,0.0006047913431755396,4.736758597800872e-06,0.33003918243414887,1.32,0.593646180862981,0.2,1,1.324661
1.7,Compressible,T,1.7,1.000008657090738,-0.044309192440962875,-5.513433620762953e-06,0.14456545503031748,1.43,4.642508092951658,3.97,0,
1.8,Boussinesq,F,0.0,5.9795656615752695e-28,0.9698296503656973,-3.3142836887274425e-10,0.9698296503656973,0.0,1.7846829416376409,0.2,1,1.810642
1.8,Boussinesq,G_compare,-0.0,-0.9999999999999999,-0.8355318924033429,-2.842170943040401e-14,0.8355318924033429,0.0,0.5089256355883975,0.68,0,
1.8,Boussinesq,H,-5.724684503845222e-24,-1.6035906455452607,-0.00011863783298420721,8.526512829121202e-14,0.7105316045759054,0.93,1.9129316733686448,0.2,1,0.929373
1.8,Boussinesq,T,1.8,1.0,-0.37756423771790537,-2.3865709408710245e-10,0.37756423771790537,0.0,0.1564936891966795,1.58,0,
1.8,Compressible,F,-0.0,8.38591332196808e-08,0.10220023045739399,-7.414410284901411e-08,0.27702415474960085,0.03,8.273080925482308,0.2,0,
1.8,Compressible,G_compare,-0.0,-0.9999998909931611,-0.12310487269539935,-9.63784998475603e-08,0.3445607660982515,0.18,10.119976846960943,1.85,0,
1.8,Compressible,H,-5.987214878804787e-25,-0.8844838902447278,0.000402249768383791,6.1796013426373975e-06,0.32745039354191796,1.3800000000000001,0.5645251031143784,0.2,1,1.381691
1.8,Compressible,T,1.8,1.0000112718840042,-0.05088616785252498,-7.176311243028977e-06,0.1578193956204359,1.56,4.185409327178746,4.25,0,
1.9,Boussinesq,F,0.0,-6.926198747840484e-28,1.0221752590563016,-1.9779547412578144e-10,1.0221752590563016,0.0,1.8839967491607652,0.2,1,1.785089
1.9,Boussinesq,G_compare,-0.0,-1.0,-0.8530576683997654,-5.684341886080802e-14,0.8530576683997654,0.0,0.5304573266336376,0.67,0,
1.9,Boussinesq,H,-7.157935663549528e-24,-1.6464198260721021,-0.00012524346767548572,2.842170943040401e-14,0.7437958881831896,0.92,2.0161350942339378,0.2,1,0.918424
1.9,Boussinesq,T,1.9,0.9999999999999999,-0.4342735460511875,-1.5020873433968518e-10,0.4342735460511875,0.0,0.18430256428985103,1.55,0,
1.9,Compressible,F,-0.0,1.0066708369104672e-07,0.10209260530527797,-8.905089679456973e-08,0.2629413933352167,0.03,6.432978101921771,0.21,0,
1.9,Compressible,G_compare,-0.0,-0.9999998691448329,-0.12311508577652841,-1.1575554026421742e-07,0.32676615528748565,0.21,7.965529542400235,2.08,0,
1.9,Compressible,H,-6.319837927627274e-25,-0.8844866638411608,0.0001997129276528069,7.938931446460629e-06,0.32512721530273936,1.44,0.552019537112786,0.21,1,1.438815
1.9,Compressible,T,1.9,1.0000144507269026,-0.05746451541267561,-9.203549268477218e-06,0.16999937114790953,1.7,3.72121954518434,4.48,0,
2.0,Boussinesq,F,0.0,-1.7157724688557007e-28,1.0736653344409883,-1.2207926555332992e-10,1.0736653344409883,0.0,1.9833150198451648,0.2,1,1.760359
2.0,Boussinesq,G_compare,-0.0,-0.9999999999999999,-0.8695550023232429,2.842170943040401e-14,0.8695550023232429,0.0,0.5511630366278553,0.66,0,
2.0,Boussinesq,H,-1.1841172930488715e-24,-1.6861206947796077,-0.00013184949609367294,-2.842170943040401e-14,0.7756855463777406,0.91,2.1176273696519963,0.2,1,0.907683
2.0,Boussinesq,T,2.0,1.0,-0.492433827776523,-9.723066796141211e-11,0.492433827776523,0.0,0.21355611462681168,1.52,0,
2.0,Compressible,F,-0.0,1.208439271205051e-07,0.10199723341524719,-1.0687868416451408e-07,0.2502591503131999,0.03,5.616638394668649,0.23,0,
2.0,Compressible,G_compare,-0.0,-0.9999998429173446,-0.12312610314158359,-1.3892955053051992e-07,0.3107407984166799,0.23,6.9509821000106236,2.2800000000000002,0,
2.0,Compressible,H,-6.652460976449763e-25,-0.884490023280783,-2.8198874500416637e-06,1.0065823119020934e-05,0.32303370214166804,1.5,0.5151624177935674,0.2,2,1.495866;7.078451
2.0,Compressible,T,2.0,1.0000183005465868,-0.06404420585002413,-1.1653826817337176e-05,0.1812500595825952,1.85,3.618285579161551,4.83,0,
