epsilon,transversality_coefficient,quadratic_coefficient
0.001,4.4098530254110874e-05,1.282747500771505e-07
0.0001,4.4098530254110874e-05,1.282747447070763e-07
1e-05,4.4098530254110874e-05,1.2827474733726315e-07
