zmax,degree,Hinf_fold,Tw_fold,leading_real,leading_imag
20.0,60,-0.5173175806375281,1.049031884855026,1.0940189728612459e-10,0.0
20.0,80,-0.5173175806375281,1.049031884855026,1.1131713005796199e-10,0.0
20.0,100,-0.5173175806375281,1.049031884855026,4.617836040085898e-11,0.0
40.0,80,-0.5327332225015823,1.0480226301296893,-6.656002272575843e-11,0.0
40.0,110,-0.5327332225015823,1.0480226301296893,-1.335751137105947e-10,0.0
40.0,140,-0.5327332225015823,1.0480226301296893,-1.635034900036844e-10,0.0
60.0,100,-0.5327616218994755,1.0480217318337601,-1.441632012091476e-10,0.0
60.0,130,-0.5327616218994755,1.0480217318337601,-4.323063634718886e-11,0.0
60.0,160,-0.5327616218994755,1.0480217318337601,-5.934725373426598e-11,0.0
80.0,120,-0.5327616528404514,1.0480217312056364,1.098771244923994e-10,0.0
80.0,150,-0.5327616528404514,1.0480217312056364,-1.3015134369892615e-10,0.0
80.0,180,-0.5327616528404514,1.0480217312056364,7.754956381284401e-11,0.0
