z_over_h,F_mode_abs,G_mode_abs,H_mode_abs,T_mode_abs
0.0,0.0,0.0,0.0,0.0
0.00017133751222137006,9.597256411449102e-05,0.00014079486361719343,5.211046857330336e-07,1.7769396782831447e-05
0.0006852326227130834,0.00037651845066220043,0.0005630273912105662,8.228960942269514e-06,7.10654013386941e-05
0.001541333133436018,0.0008200641543865546,0.0012659237739566687,4.0755716275921834e-05,0.00015985131608911625
0.002739052315863355,0.0013924168825945526,0.002247221634165206,0.00012490140300662052,0.00028406493711143657
0.004277569313094809,0.002049258443171472,0.0035019924356946624,0.0002930410523906903,0.00044361507477991497
0.006155829702431115,0.0027393399747394913,0.005021489612634185,0.0005786372426657327,0.0006383731651740926
0.008372546218022692,0.0034080956700806575,0.006792380357539204,0.0010113270763538358,0.0008681571445564783
0.010926199633097156,0.0040013427053416555,0.008796658722784368,0.0016120868893198,0.0011327048159158048
0.013815039801161721,0.004468715753621305,0.011012407776041302,0.0023889491635250616,0.0014316344408797136
0.017037086855465844,0.004766508152916589,0.013415405255134516,0.0033336557477534807,0.0017643911635462158
0.020590132565903474,0.004859663008084306,0.01598138513595347,0.004419491613368346,0.002130179002677702
0.024471741852423234,0.004722772243574672,0.0186886135643255,0.0056003762827716835,0.002527879453154601
0.028679254453910785,0.004340085499248777,0.021520344095883055,0.006811125349853716,0.0029559592110771603
0.03320978675139913,0.0037046806564486143,0.02446670607790544,0.007968663676661955,0.003412371258017143
0.03806023374435663,0.002817075333521734,0.027525658713317434,0.008973901148673177,0.0038944555899600368
0.04322727117869957,0.001683637724162547,0.03070280068262144,0.009713985641489467,0.0043988481891114855
0.048707357825069686,0.0003151662096004998,0.03401003295423526,0.010064723596160882,0.004921409042150825
0.05449673790581605,0.0012740539353904036,0.03746328756379624,0.00989308639018234,0.005457181414843844
0.06059144366901731,0.0030665322522506256,0.04107971074824094,0.00905986671984275,0.006000394343730053
0.06698729810778065,0.0050411689938985055,0.04487478390306275,0.0074226736594634225,0.006544517777785471
0.07367991782295391,0.0071723047556892724,0.048859858237679486,0.004839522054216823,0.007082374923686733
0.08066471602728797,0.00942849410277628,0.05304047201792679,0.0011732588810356528,0.007606309856814201
0.08793690568899215,0.011771344741082856,0.057415641127305815,0.0037030265896199604,0.008108401647250978
0.09549150281252627,0.014154762617475948,0.06197810934566317,0.00989962329870208,0.008580710598823949
0.10332332985438242,0.016524874618305846,0.06671536205760319,0.017503057706133,0.009015538830676939
0.11142701927151455,0.018820783806634035,0.07161108403470998,0.02656858632363353,0.009405686801436925
0.11979701719998453,0.020976175510805887,0.0766466974380847,0.03711285802279107,0.009744689224662059
0.12842758726130288,0.022921664753469555,0.08180264860448842,0.04910735531296161,0.010027017382581622
0.13731281449385618,0.024587678913022114,0.0870592031440895,0.06247321718681913,0.010248239168883231
0.1464466094067262,0.025907616240906713,0.09239663130108003,0.07707796620108366,0.010405132443957958
0.155822712153123,0.026821012318729468,0.09779479194410856,0.0927345269487624,0.010495750893520256
0.16543469682057088,0.027276475287584603,0.1032322307242425,0.10920275613557834,0.010519444297786402
0.17527597583490817,0.027234204225738558,0.10868498217400496,0.12619353070839495,0.010476836942755655
0.18533980447508125,0.02666796957738184,0.11412530143438714,0.1433752805289906,0.010369768994504524
0.19561928549563967,0.025566498149956277,0.11952055127035638,0.16038271999947531,0.01020120619469725
0.20610737385376343,0.02393425881289788,0.12483244059515931,0.1768274355579395,0.009975123457126927
0.21679688153758359,0.021791684150599455,0.13001676164314052,0.19230992325606888,0.009696367971501307
0.2276804824924864,0.01917488670089847,0.13502371368383614,0.20643263828961747,0.009370507352104915
0.23875071764202555,0.016134937975935328,0.13979884039346507,0.2188136094375653,0.009003668190476256
0.24999999999999994,0.012736776884143078,0.1442845517958184,0.22910017823387419,0.008602370180100632
0.2614206198701957,0.00905780613438388,0.1484221547850557,0.23698243852400058,0.008173360650323062
0.2730047501302266,0.005186223990606645,0.15215428057993452,0.24220597207203026,0.0077234539551936385
0.2847444515958524,0.001219127845877699,0.1554275737691556,0.244583497156051,0.007259379663445227
0.2966316784620998,0.0027395823217760706,0.15819549523301835,0.2440050691065885,0.006787642920820784
0.3086582838174551,0.006581477173059931,0.16042108880318634,0.24044649539486682,0.006314399744964771
0.3208160252273498,0.010196024839607043,0.16207956734811266,0.23397565537139442,0.005845349376624164
0.3330965703831146,0.01347314480491985,0.16316058623733937,0.2247564485757126,0.005385645193013957
0.3454915028125263,0.0163058558091058,0.16367008917387188,0.21305013811756462,0.004939825133507255
