model,domain,principal_fold_control,principal_fold_coordinate,principal_fold_temperature,fold_temporal_real,fold_temporal_imag,zero_mode_centroid,active_fields_centroid,global_pressure_parameter
von_Karman,semi_infinite_approximated_by_eta_max_60,Hinf,-0.5327616218994755,1.0480217318337601,-1.3414634521342607e-10,0.0,35.30515802925036,6.500063457797963,0
rotor_stator,finite_gap_Re_h_1000,Pi,0.009135420160491526,1.1676764840272862,-1.8484689990345965e-11,0.0,0.7365777245800983,0.6643556191203751,1
