branch,Hinf,Tw,leading_real,leading_imag,unstable_eigenvalues
1.000000000000e+00,-6.404802907154e-01,1.045000000015e+00,-4.250402644205e-02,0.000000000000e+00,0.000000000000e+00
2.000000000000e+00,-3.628999661492e-01,1.044999999967e+00,3.407979968642e-02,0.000000000000e+00,1.000000000000e+00
3.000000000000e+00,-1.912959207866e-01,1.044999985270e+00,2.504954796682e-02,-4.019585704616e-02,2.000000000000e+00
