branch,pressure_gradient,z,H,F,G,T
1,0.001542389588,0.0,0.0,-1.7748384683685954e-29,1.0,1.16
1,0.001542389588,0.001,-0.00041745549429975776,0.01306397140847531,0.9835786066966148,1.1586621946418882
1,0.001542389588,0.002,-0.0016354579250688903,0.0253206767242014,0.9671829619079831,1.1573244040309305
1,0.001542389588,0.003,-0.0036039241933256546,0.03680078398149098,0.9508369855468078,1.1559866651385444
1,0.001542389588,0.004,-0.006274692132198245,0.04753436695183924,0.9345627023415136,1.154649037792334
1,0.001542389588,0.005,-0.009601482212870664,0.05755088270702585,0.9183803467468585,1.1533116031955633
1,0.001542389588,0.006,-0.013539857917905702,0.06687915237724242,0.9023084630116341,1.1519744624932011
1,0.001542389588,0.007,-0.018047185004588018,0.07554734489162415,0.886364000600661,1.1506377353816875
1,0.001542389588,0.008,-0.023082589802345378,0.08358296352046485,0.8705624052126716,1.149301558759497
1,0.001542389588,0.009000000000000001,-0.02860691675215513,0.09101283501943272,0.8549177055549927,1.1479660854168987
1,0.001542389588,0.01,-0.034582685341600444,0.09786310119857074,0.8394425960642158,1.1466314827632975
1,0.001542389588,0.011,-0.04097404658277989,0.10415921274563039,0.824148515746744,1.1452979315909984
1,0.001542389588,0.012,-0.04774673917360881,0.10992592513964856,0.8090457233004434,1.1439656248745962
1,0.001542389588,0.013000000000000001,-0.05486804543919228,0.11518729651427755,0.7941433686932595,1.142634766605269
1,0.001542389588,0.014,-0.062306747204231655,0.11996668730973431,0.7794495613198479,1.141305570659959
1,0.001542389588,0.015,-0.07003308170111694,0.12428676157504259,0.7649714348793214,1.1399782597053154
1,0.001542389588,0.016,-0.07801869751746437,0.1281694898360785,0.7507152091679584,1.1386530641359573
1,0.001542389588,0.017,-0.08623661129582882,0.1316361530838079,0.7366862485378773,1.1373302210499587
1,0.001542389588,0.018000000000000002,-0.0946611635061099,0.13470734867387885,0.7228891182082767,1.136009973254162
1,0.001542389588,0.019,-0.10326797605705694,0.137402996638045,0.709327636918564,1.1346925683113565
1,0.001542389588,0.02,-0.11203390967299,0.13974234739248034,0.696004927355732,1.1333782576196223
1,0.001542389588,0.021,-0.12093702115914669,0.14174399076179922,0.6829234643398195,1.1320672955270477
1,0.001542389588,0.022,-0.1299565229783956,0.1434258648867298,0.670085119641817,1.1307599384863505
1,0.001542389588,0.023,-0.13907274131867017,0.1448052671020505,0.6574912055663573,1.1294564442422566
1,0.001542389588,0.024,-0.1482670765312072,0.14589886453213338,0.6451425154046444,1.128157071058504
1,0.001542389588,0.025,-0.1575219636131505,0.14672270566045487,0.6330393620836338,1.1268620769803797
1,0.001542389588,0.026000000000000002,-0.16682083291887542,0.14729223275450173,0.6211816149562813,1.125571719135638
1,0.001542389588,0.027,-0.17614807311601052,0.14762229384206133,0.6095687339768808,1.1242862530704263
1,0.001542389588,0.028,-0.18548899305397043,0.14772715625361035,0.5981998027843453,1.1230059321255639
1,0.001542389588,0.029,-0.19482978615326296,0.1476205194330066,0.5870735592640368,1.1217310068462516
1,0.001542389588,0.03,-0.20415749460194618,0.14731552867288014,0.5761884248016642,1.1204617244308268
1,0.001542389588,0.031,-0.21345997475143927,0.14682478885622305,0.5655425317353463,1.1191983282152453
1,0.001542389588,0.032,-0.22272586362584137,0.1461603781979308,0.5551337491489792,1.1179410571918207
1,0.001542389588,0.033,-0.2319445456125009,0.14533386258552006,0.5449597073776995,1.1166901455677825
1,0.001542389588,0.034,-0.24110612086787056,0.14435630943186728,0.5350178208006025,1.115445822353581
1,0.001542389588,0.035,-0.2502013742211459,0.14323830182847588,0.5253053093909932,1.1142083109874266
1,0.001542389588,0.036000000000000004,-0.2592217446362952,0.14198995294716535,0.5158192190277487,1.1129778289970116
1,0.001542389588,0.037,-0.26815929651029613,0.14062091972179902,0.5065564403144751,1.1117545876848065
1,0.001542389588,0.038,-0.27700669070560635,0.13914041730626192,0.49751372649295417,1.1105387918566638
1,0.001542389588,0.039,-0.2857571573841354,0.137557232765408,0.4886877099986642,1.1093306395719473
1,0.001542389588,0.04,-0.2944044693556141,0.13587973890755342,0.4800749180304699,1.108130321927004
1,0.001542389588,0.041,-0.30294291603227314,0.13411590818274827,0.4716717871293089,1.1069380228717904
1,0.001542389588,0.042,-0.3113672789860712,0.13227332583269916,0.4634746766614171,1.105753919043545
1,0.001542389588,0.043000000000000003,-0.31967280744491405,0.13035920357013742,0.4554798815193872,1.1045781796407244
