pressure_gradient,Tw,leading_real,leading_imag,positive_real_count,fold_sample
0.0979164800975601,1.0,-0.025538239766246515,0.0,0,0
0.0959164800975601,1.0046737081724721,-0.02522689465378568,0.0,0,0
0.0939164800975601,1.0093348606371264,-0.024910284965275344,0.0,0,0
0.0919164800975601,1.013982871241277,-0.024587984636982897,0.0,0,0
0.08991648009756009,1.0186170906136804,-0.024259525107870536,0.0,0,0
0.08791648009756009,1.023236799557952,-0.023924392785552386,0.0,0,0
0.08591648009756009,1.0278412018976961,-0.023582026712603937,0.0,0,0
0.08391648009756009,1.0324294167622503,-0.023231816509502113,0.0,0,0
0.08191648009756008,1.037000470289142,-0.022873100735021263,0.0,0,0
0.07991648009756008,1.0415532867351778,-0.02250516582546199,0.0,0,0
0.07791648009756008,1.04608667899671,-0.02212724580444429,0.0,0,0
0.07591648009756008,1.050599338542209,-0.021738523051743012,0.0,0,0
0.07391648009756008,1.0550898247923837,-0.02133813033449768,0.0,0,0
0.07191648009756008,1.0595565539804324,-0.020925154570209572,0.0,0,0
0.06991648009756007,1.063997787577436,-0.020498642665447448,0.0,0,0
0.06791648009756007,1.0684116203784488,-0.02005760994774705,0.0,0,0
0.06591648009756007,1.0727959684073471,-0.01960105175573447,0.0,0,0
0.06391648009756007,1.0771485568417223,-0.01912795882690191,0.0,0,0
0.06191648009756007,1.0814669082441164,-0.018637337189464386,0.0,0,0
0.059916480097560065,1.0857483314701588,-0.018128233316797304,0.0,0,0
0.057916480097560064,1.0899899117488332,-0.01759976531771924,0.0,0,0
0.05591648009756006,1.0941885025822626,-0.01705116090443629,0.0,0,0
0.05391648009756006,1.0983407202960016,-0.016481802794119333,0.0,0,0
0.05191648009756006,1.102442942312289,-0.015891281932726098,0.0,0,0
0.049916480097560056,1.1064913104989926,-0.015279458607359062,0.0,0,0
0.047916480097560055,1.1104817412843384,-0.014646530885106026,0.0,0,0
0.04591648009756005,1.1144099445975806,-0.013993108944285503,0.0,0,0
0.04391648009756005,1.1182714540706855,-0.013320292574515046,0.0,0,0
0.04191648009756005,1.1220616712285778,-0.01262974733878546,0.0,0,0
0.03991648009756005,1.1257759264375609,-0.011923772343559047,0.0,0,0
0.037916480097560046,1.1294095588001227,-0.011205349085621829,0.0,0,0
0.035916480097560044,1.1329580154171845,-0.010478155953560154,0.0,0,0
0.03391648009756004,1.1364169661230719,-0.009746526057096494,0.0,0,0
0.03191648009756004,1.1397824209172298,-0.009015316252634105,0.0,0,0
0.02991648009756004,1.143050819793434,-0.008289641199227005,0.0,0,0
0.027916480097560037,1.146219031359324,-0.007574406424710509,0.0,0,0
0.025916480097560035,1.1492841356162242,-0.006873547494373494,0.0,0,0
0.023916480097560033,1.1522427565285505,-0.006188849521116974,0.0,0,0
0.02191648009756003,1.1550895191474788,-0.0055181918204583805,0.0,0,0
0.01991648009756003,1.1578138831891485,-0.00485306777370844,0.0,0,0
0.017916480097560028,1.1603940916914275,-0.0041753552979883375,0.0,0,0
0.015916480097560026,1.162786209722801,-0.0034537564769418763,0.0,0,0
0.014916480097560025,1.1638875173038603,-0.0030624684218580563,0.0,0,0
0.013916480097560024,1.1649052330916743,-0.0026414923618560448,0.0,0,0
0.012916480097560024,1.165817262603076,-0.002183042363535981,0.0,0,0
0.011916480097560023,1.1665942101880256,-0.0016794331809594464,0.0,0,0
0.011416480097560022,1.1669203745991787,-0.0014085811262549161,0.0,0,0
0.010916480097560022,1.1671974364021687,-0.0011241938990798307,0.0,0,0
0.010416480097560021,1.1674187473786832,-0.0008259449598558853,0.0,0,0
0.009916480097560021,1.1675767796803633,-0.0005138571878626327,0.0,0,0
0.00941648009756002,1.1676630400531685,-0.00018841779560128312,0.0,0,0
0.009135420160491526,1.1676764840518394,-7.39872408548617e-12,0.0,0,1
0.00891648009756002,1.167667984008853,0.00014928002021670313,0.0,1,0
0.00841648009756002,1.1675809345824448,0.0004973611737828609,0.0,1,0
0.00791648009756002,1.167390015071955,0.0008529468537149405,0.0,1,0
0.007416480097560019,1.1670821109395608,0.0012118682062723274,0.0,1,0
0.006916480097560018,1.166642891245565,0.0015682841076518727,0.0,1,0
0.006416480097560018,1.16605694782287,0.0019141478461348132,0.0,1,0
0.005916480097560017,1.1653081633377305,0.002238424009973306,0.0,1,0
0.005416480097560017,1.1643805401365421,0.002525869503447097,0.0,1,0
0.0049164800975600165,1.1632599839753248,0.002755015788124656,0.0,1,0
0.004416480097560016,1.1619381641775746,0.002894605766455904,0.0,1,0
0.003916480097560016,1.1604211936840219,0.002896843533641899,0.0,1,0
0.003416480097560015,1.1587504486982945,0.0026835293678344673,0.0,1,0
0.0029164800975600147,1.1570575302878954,0.002114509794708733,0.0,1,0
0.0024164800975600143,1.155730657320775,0.0009047359735176877,0.0,1,0
0.0021923647891298336,1.1555175486930833,-2.329497620217812e-09,0.0,0,1
0.0019164800975600138,1.1560310894696721,-0.0016525080528980308,0.0,0,0
0.0014164800975600134,1.163182753564118,-0.008340384806998263,0.0,0,0
0.0009164800975600129,1.2027952068881889,-0.018600997350201744,0.012475495287821242,0,0
0.0004164800975600125,1.2751697728389193,-0.023598075660736087,0.017578002076158224,0,0
-8.351990243998797e-05,1.3284292588114441,-0.027449662144283925,0.018565852951770247,0,0
-0.0005835199024399884,1.3677776624849356,-0.03041634885601599,0.018250408897979836,0,0
-0.0010835199024399889,1.399147366039066,-0.032889416601114385,0.017304144201746967,0,0
