degree,mapping_scale,Hinf,Tw,Fp0,Gp0,Tp0,thermal_tail_length,residual_inf,newton_iterations,nearest_fold_distance_Hinf
110,8.0,-0.75,1.0322415492959522,0.4904326346659228,0.5982263546371376,-0.010108990581823296,1.8518518518518516,1.8506698664366472e-10,3,0.21723843429736223
110,8.0,-0.74,1.0338272951448586,0.48947955321767533,0.5972480942120095,-0.010575121325512027,1.876876876876877,3.9117774466594525e-11,4,0.20723843429736222
110,8.0,-0.73,1.0353141808763473,0.4885897885645251,0.5963150972285985,-0.011008523714547247,1.9025875190258754,2.4797664856283983e-11,5,0.1972384342973622
110,8.0,-0.72,1.0367046796587878,0.48776172281702745,0.5954269958370936,-0.011410361174096217,1.9290123456790125,2.423352202498702e-10,4,0.1872384342973622
110,8.0,-0.71,1.0380013179599132,0.4869936979962631,0.5945833472991137,-0.011781787200146221,1.9561815336463224,1.266555565562603e-10,4,0.1772384342973622
110,8.0,-0.7,1.0392065552989396,0.4862840885744986,0.5937837105631322,-0.012123911077007332,1.9841269841269842,2.341502972325421e-10,4,0.16723843429736218
110,8.0,-0.69,1.0403229283648745,0.48563121737509807,0.5930275511764378,-0.012437839488068203,2.0128824476650564,7.073189013026788e-11,4,0.15723843429736217
110,8.0,-0.68,1.041352833896997,0.485033483974049,0.5923143864401403,-0.012724615661721395,2.042483660130719,2.3908848157481137e-10,5,0.14723843429736228
110,8.0,-0.67,1.042298640108699,0.48448929885501735,0.5916437153202825,-0.012985252255286045,2.0729684908789388,2.2482196163539614e-11,4,0.13723843429736227
110,8.0,-0.66,1.0431628264490618,0.48399700441715304,0.5910149173218572,-0.013220770064701404,2.1043771043771042,1.4999661492116888e-10,4,0.12723843429736226
110,8.0,-0.65,1.0439476612690053,0.48355506014377014,0.5904274847330389,-0.013432110370597883,2.1367521367521367,4.3038052845480304e-11,4,0.11723843429736225
110,8.0,-0.64,1.0446556595278313,0.48316178394514353,0.5898806857453706,-0.013620259662313394,2.170138888888889,2.0678393812703785e-10,4,0.10723843429736224
110,8.0,-0.63,1.0452890211660864,0.48281566836740264,0.5893739874387515,-0.013786099391874918,2.204585537918871,3.871200880028063e-11,4,0.09723843429736223
110,8.0,-0.62,1.0458501371313622,0.482515098639618,0.5889066702467568,-0.013930541813617442,2.2401433691756276,1.1261433284589643e-11,4,0.08723843429736222
110,8.0,-0.61,1.0463412656984215,0.4822585321497343,0.5884780813327589,-0.01405444501623912,2.276867030965392,1.1367240092882128e-10,4,0.07723843429736221
110,8.0,-0.6,1.0467646984722732,0.4820444086247081,0.5880875013745426,-0.014158656948705328,2.314814814814815,1.508983530774087e-10,5,0.0672384342973622
110,8.0,-0.598,1.0468414567617883,0.48200654312590024,0.58801388624182,-0.014177208119501544,2.322556670382758,1.236249111322326e-10,3,0.0652384342973622
110,8.0,-0.596,1.0469156092009204,0.4819703044681424,0.5879417626475387,-0.014195009495817895,2.330350484712901,2.407467586133306e-10,3,0.0632384342973622
110,8.0,-0.594,1.0469871764482277,0.48193567898370526,0.5878711222342657,-0.01421206818421708,2.3381967826412273,1.9756030613901023e-10,4,0.0612384342973622
110,8.0,-0.592,1.0470562072542022,0.48190263968769115,0.5878019280280589,-0.014228397867821013,2.346096096096096,7.510239586559105e-11,4,0.0592384342973622
110,8.0,-0.59,1.0471226670380873,0.4818711995052159,0.5877342264580332,-0.01424399247916211,2.354048964218456,1.4509649593891208e-11,3,0.057238434297362195
110,8.0,-0.588,1.0471866039011515,0.4818413317652089,0.5876679810892753,-0.014258865486493827,2.362055933484505,2.379540602631223e-10,4,0.05523843429736219
110,8.0,-0.586,1.0472480275371108,0.4818130280867336,0.5876031942206623,-0.014273021289948645,2.3701175578308686,1.33819546090661e-10,3,0.05323843429736219
110,8.0,-0.584,1.0473069695001178,0.48178627005823943,0.5875398449046948,-0.014286469277561081,2.378234398782344,8.727464378500502e-11,3,0.05123843429736219
110,8.0,-0.582,1.0473634256990698,0.48176105547046333,0.587477950397433,-0.014299210676010615,2.3864070255822836,1.5679499737443958e-10,3,0.04923843429736219
110,8.0,-0.58,1.0474174199501016,0.4817373693033493,0.5874174983222334,-0.0143112531027704,2.3946360153256707,1.2426286927786958e-10,3,0.047238434297362186
