sample,Hinf,Tw,temporal_degree,rank_by_real_part,eigen_real,eigen_imag,positive_real_count,closest_to_zero_real,closest_to_zero_imag
principal,-0.6,1.0467646984722732,50,1,-5.424310207435593e-05,0.0,0,-5.424310207435593e-05,0.0
principal,-0.6,1.0467646984722732,50,2,-0.00034760391698692036,0.00015271854497738257,0,-5.424310207435593e-05,0.0
principal,-0.6,1.0467646984722732,50,3,-0.00034760391698692036,-0.0001527185449773826,0,-5.424310207435593e-05,0.0
principal,-0.6,1.0467646984722732,50,4,-0.00037767300311305406,-0.007064916961886022,0,-5.424310207435593e-05,0.0
principal,-0.6,1.0467646984722732,50,5,-0.0003776730031130541,0.007064916961886022,0,-5.424310207435593e-05,0.0
principal,-0.6,1.0467646984722732,50,6,-0.00042585001314687446,0.0,0,-5.424310207435593e-05,0.0
principal,-0.6,1.0467646984722732,50,7,-0.001322588506356022,-0.00035250057770232386,0,-5.424310207435593e-05,0.0
principal,-0.6,1.0467646984722732,50,8,-0.0013225885063560224,0.0003525005777023239,0,-5.424310207435593e-05,0.0
principal,-0.6,1.0467646984722732,50,9,-0.00142837771878769,0.0,0,-5.424310207435593e-05,0.0
principal,-0.6,1.0467646984722732,50,10,-0.0032525578630173005,0.0005895242363026629,0,-5.424310207435593e-05,0.0
principal,-0.6,1.0467646984722732,50,11,-0.003252557863017301,-0.0005895242363026629,0,-5.424310207435593e-05,0.0
principal,-0.6,1.0467646984722732,50,12,-0.003362725376261393,0.0,0,-5.424310207435593e-05,0.0
principal,-0.6,1.0467646984722732,70,1,-2.7680862523907927e-05,0.0,0,-2.7680862523907927e-05,0.0
principal,-0.6,1.0467646984722732,70,2,-0.00017733114623249733,7.806311674860181e-05,0,-2.7680862523907927e-05,0.0
principal,-0.6,1.0467646984722732,70,3,-0.00017733114623249733,-7.806311674860181e-05,0,-2.7680862523907927e-05,0.0
principal,-0.6,1.0467646984722732,70,4,-0.0002174605332271611,0.0,0,-2.7680862523907927e-05,0.0
principal,-0.6,1.0467646984722732,70,5,-0.00025603598778088427,0.005506790006668375,0,-2.7680862523907927e-05,0.0
principal,-0.6,1.0467646984722732,70,6,-0.00025603598778088427,-0.005506790006668375,0,-2.7680862523907927e-05,0.0
principal,-0.6,1.0467646984722732,70,7,-0.000674697002141302,-0.0001817054842553173,0,-2.7680862523907927e-05,0.0
principal,-0.6,1.0467646984722732,70,8,-0.0006746970021413021,0.0001817054842553173,0,-2.7680862523907927e-05,0.0
principal,-0.6,1.0467646984722732,70,9,-0.0007305208624406843,0.0,0,-2.7680862523907927e-05,0.0
principal,-0.6,1.0467646984722732,70,10,-0.0016594626378140962,-0.00031517284156458013,0,-2.7680862523907927e-05,0.0
principal,-0.6,1.0467646984722732,70,11,-0.0016594626378140965,0.00031517284156458013,0,-2.7680862523907927e-05,0.0
principal,-0.6,1.0467646984722732,70,12,-0.00172471836026238,0.0,0,-2.7680862523907927e-05,0.0
principal,-0.6,1.0467646984722732,90,1,-1.6746753904921688e-05,0.0,0,-1.6746753904921688e-05,0.0
principal,-0.6,1.0467646984722732,90,2,-0.00010726516673456016,-4.7005533017697296e-05,0,-1.6746753904921688e-05,0.0
principal,-0.6,1.0467646984722732,90,3,-0.00010726516673456018,4.7005533017697296e-05,0,-1.6746753904921688e-05,0.0
principal,-0.6,1.0467646984722732,90,4,-0.00013159937368621583,0.0,0,-1.6746753904921688e-05,0.0
principal,-0.6,1.0467646984722732,90,5,-0.00019079440232875835,-0.004550079370550543,0,-1.6746753904921688e-05,0.0
principal,-0.6,1.0467646984722732,90,6,-0.00019079440232875838,0.004550079370550542,0,-1.6746753904921688e-05,0.0
principal,-0.6,1.0467646984722732,90,7,-0.0004081425728936481,0.00011038777122195733,0,-1.6746753904921688e-05,0.0
principal,-0.6,1.0467646984722732,90,8,-0.0004081425728936481,-0.00011038777122195736,0,-1.6746753904921688e-05,0.0
principal,-0.6,1.0467646984722732,90,9,-0.00044235814403298813,0.0,0,-1.6746753904921688e-05,0.0
principal,-0.6,1.0467646984722732,90,10,-0.0010037196237130221,0.00019410418945039104,0,-1.6746753904921688e-05,0.0
principal,-0.6,1.0467646984722732,90,11,-0.0010037196237130221,-0.00019410418945039107,0,-1.6746753904921688e-05,0.0
principal,-0.6,1.0467646984722732,90,12,-0.0010456032223538235,0.0,0,-1.6746753904921688e-05,0.0
middle,-0.3,1.0385768099155694,50,1,0.04175985852620543,0.0,1,-2.7117434240536824e-05,0.0
middle,-0.3,1.0385768099155694,50,2,-2.7117434240536824e-05,0.0,1,-2.7117434240536824e-05,0.0
