point,Hinf,Tw,newton_residual,newton_sigma_min_over_max,thermal_decay_length
1.000000000000e+00,-5.173175820392e-01,1.049031884854e+00,1.845205977760e-10,7.501957235853e-15,2.684789647810e+00
2.000000000000e+00,-2.420265246493e-01,1.040603691481e+00,1.447572834171e-10,1.708922760528e-09,5.738581301787e+00
