pressure_gradient,Tw,thermal_rossby,rotor_heat_flux_Tz,G_mid,H_min,F_min,F_max,nodes,max_rms_residual
0.09854664485121374,1.0,0.0,-3.132935975202291e-16,0.3086900948160666,-1.0393405771657571,-0.1518367952823175,0.1695357740202571,674,9.925007063608407e-07
0.09754664485121374,1.002345881624862,0.002345881624862045,-0.02059776595932601,0.3069230098683317,-1.0367180686755368,-0.15107335482794731,0.16918574312672335,675,9.679905659716726e-07
0.09654664485121374,1.004686978080763,0.004686978080763016,-0.04109939804917762,0.3051470717611648,-1.0340589459660599,-0.1503044184989919,0.1688361757124726,677,9.682528491757935e-07
0.09554664485121374,1.00702316009532,0.007023160095319891,-0.0615037256959879,0.30336221892876225,-1.0313624800229306,-0.14952990786888976,0.16848710521226215,678,9.763752903807212e-07
0.09454664485121374,1.009354295145444,0.009354295145443947,-0.08180955785690618,0.30156839016004827,-1.0286279214574736,-0.14874974260552973,0.16813856586756162,679,9.689158553806716e-07
0.09354664485121374,1.0116802473745437,0.01168024737454365,-0.10201568239180538,0.29976552464378114,-1.0259057057944865,-0.1479638404097543,0.167790592739303,679,9.915802066567173e-07
0.09254664485121374,1.0140008776023686,0.014000877602368567,-0.12212086622934173,0.29795356202085843,-1.0231738157481678,-0.14717211694079418,0.16744322169732526,680,9.81200270703661e-07
0.09154664485121373,1.0163160432921081,0.016316043292108118,-0.14212385510784536,0.29613244243505693,-1.0204017602105435,-0.14637448574838594,0.1670964894204647,681,9.987737730442502e-07
0.09054664485121373,1.0186255985287684,0.01862559852876844,-0.16202337342119685,0.29430210658951506,-1.0175886962350131,-0.1455708581925586,0.16675043339205814,682,9.853191796603061e-07
0.08954664485121373,1.0209293940129927,0.020929394012992653,-0.18181812413909157,0.2924624958036364,-1.0147415991915267,-0.1447611433659333,0.16640509189192046,683,9.71324735996128e-07
0.08854664485121373,1.0232272770325905,0.023227277032590532,-0.20150678851362958,0.29061355207396994,-1.0119269457433862,-0.14394524801041864,0.16606050399276429,685,9.71925806615185e-07
0.08754664485121373,1.0255190915023882,0.02551909150238818,-0.22108802632590094,0.28875521813849603,-1.0090689327373434,-0.14312307642748337,0.165716709539391,685,9.84969138130942e-07
0.08654664485121373,1.0278046779149772,0.027804677914977205,-0.24056047533973138,0.2868874375423594,-1.0061666072738902,-0.1422945303875204,0.16537374914825206,686,9.78071193277265e-07
0.08554664485121373,1.03008387338646,0.030083873386459903,-0.2599227515052957,0.2850101547073748,-1.003218986994247,-0.14147275732124862,0.16503166418453827,687,9.974191787180644e-07
0.08454664485121373,1.0323565116686806,0.03235651166868059,-0.279173448842783,0.28312331500615057,-1.0002953705009205,-0.14065195109714607,0.1646904967447914,688,9.9031633063525e-07
0.08354664485121373,1.034622423177488,0.03462242317748809,-0.298311139397468,0.28122686483780945,-0.9973394685513869,-0.13982434008541345,0.16435028963617831,689,9.795896470470128e-07
0.08254664485121373,1.0368814350314726,0.036881435031472565,-0.31733437322881874,0.2793207517080053,-0.9943354878972954,-0.13898981208920383,0.16401108635176395,690,9.868115148280508e-07
0.08154664485121373,1.0391333711007424,0.03913337110074244,-0.33624167842117575,0.2774049243122636,-0.991282310332766,-0.1381482517604013,0.1636729310427452,690,9.963347351381301e-07
0.08054664485121373,1.0413780520691314,0.041378052069131366,-0.3550315611332375,0.2754793326235876,-0.9882493350431295,-0.13729954046903162,0.16333586848587608,690,9.956366324870723e-07
0.07954664485121372,1.0436152954999998,0.04361529549999976,-0.3737025056130638,0.27354392798265387,-0.9851817398170694,-0.13644355617301585,0.1629999440512729,693,9.78864363745852e-07
0.07854664485121372,1.0458449159463803,0.045844915946380294,-0.3922529744983159,0.27159866319289266,-0.9820617451918825,-0.1355801732753344,0.16266520365262865,693,9.797846030709393e-07
0.07754664485121372,1.0480667250211915,0.04806672502119147,-0.4106814086870497,0.26964349261948656,-0.9788904136947928,-0.13470926247061699,0.16233169371569733,693,9.807306674749324e-07
0.07654664485121372,1.0502805315348775,0.05028053153487755,-0.4289862277018062,0.26767837229139446,-0.9757510237897026,-0.13383069059337194,0.16199946112104394,693,9.81701522011661e-07
0.07554664485121372,1.052486141627438,0.05248614162743803,-0.447165829884389,0.26570326000840666,-0.9725556687493374,-0.13294432044786986,0.16166855315061865,693,9.826960846383047e-07
0.07454664485121372,1.0546833589225775,0.054683358922577474,-0.46521859267794624,0.26371811545173407,-0.9693029230652378,-0.13206887943074017,0.16133901742768236,693,9.837133209231317e-07
0.07354664485121372,1.056871984702798,0.056871984702798084,-0.4831428729661783,0.26172290029871903,-0.9660333318352905,-0.13118792962465517,0.16101090185051503,693,9.847522169459083e-07
0.07254664485121372,1.0590518181065458,0.059051818106545806,-0.5009370074726134,0.25971757834152487,-0.9627529397151643,-0.13029860113725403,0.16068425451978072,693,9.858117120592488e-07
0.07154664485121372,1.061222656349086,0.06122265634908608,-0.5185993132252723,0.257702115609723,-0.9594110007781904,-0.12940073490153542,0.1603591236591575,693,9.868907915739739e-07
0.07054664485121372,1.0633842949688659,0.06338429496886588,-0.5361280880923738,0.2556764804966479,-0.9560149047128192,-0.12849416669377847,0.16003555752882914,693,9.879884822199593e-07
0.06954664485121372,1.0655365281011833,0.06553652810118327,-0.5535216113949601,0.25364064388933355,-0.952638473639849,-0.12757872689213545,0.1597136043314322,693,9.891037854928142e-07
0.06854664485121371,1.0676791487810509,0.06767914878105086,-0.5707781446025975,0.2515945793017767,-0.9491958170770449,-0.12665424022031185,0.1593933121100473,693,9.902357061310614e-07
0.06754664485121371,1.0698119492771687,0.06981194927716872,-0.5878959321183871,0.24953826301118948,-0.9456850762773626,-0.12572052547518406,0.15907472863783095,693,9.913832662329351e-07
0.06654664485121371,1.071934721458958,0.07193472145895807,-0.6048732021596392,0.24747167419680857,-0.942192631001925,-0.12477739523709434,0.15875790129889233,693,9.9254550801502e-07
0.06554664485121371,1.0740472571985873,0.07404725719858729,-0.6217081677404583,0.24539479508070966,-0.9386360785513345,-0.1238412098295576,0.1584428769600418,693,9.937214880645208e-07
0.06454664485121371,1.07614934881168,0.07614934881168,-0.6383990277635145,0.2433076110693636,-0.9350059050344269,-0.12290080279348932,0.15812970183241445,694,9.96518164501463e-07
0.06354664485121371,1.0782407895290218,0.0782407895290218,-0.6549439682288891,0.24121011089841737,-0.9313904579443169,-0.12195020917482657,0.15781842132740057,695,9.9611086407841e-07
0.06254664485121371,1.0803213740181281,0.08032137401812811,-0.6713411635234076,0.23910228677241,-0.9277048662217744,-0.1209892081617145,0.15750907989269294,695,9.973224080035539e-07
0.06154664485121371,1.0823908989511426,0.0823908989511426,-0.6875887779230366,0.23698413450374803,-0.9239484162405333,-0.120017570746119,0.15720172084939552,695,9.985439628549528e-07
