Tw	mode	status	R_c_blackburn	beta_c_blackburn	R_c_blackburn_discrete	beta_c_blackburn_discrete	blackburn_quadratic_fit	R_c_compressible	beta_c_compressible	R_c_compressible_discrete	beta_c_compressible_discrete	compressible_quadratic_fit	delta_R_blackburn_minus_compressible	R_error_vs_compressible_percent	PPT_R_difference_compressible_vs_blackburn_percent	delta_beta_blackburn_minus_compressible	beta_error_vs_compressible_percent	PPT_beta_difference_compressible_vs_blackburn_percent
1.0	Type-I	available	286.04926038607937	0.07746975052505223	286.05320953012875	0.07767185213001493	True	286.70753030169317	0.07698149700239212	286.7085864402206	0.07687873136034827	True	-0.6582699156138005	-0.22959631193541521	0.23012466968987674	0.0004882535226601037	0.634247892899422	-0.6302505421160636
1.0	Type-II	available	451.4360078261751	0.046386047681828156	451.44982231531117	0.04647185213001497	True	454.8947408451839	0.046083540188272556	455.22854983956717	0.04647873136034831	True	-3.4587330190087755	-0.7603369985290509	0.7661624148378869	0.00030250749355559964	0.6564328441775886	-0.6521519048800264
1.04	Type-I	available	282.24615352046675	0.07498794683238268	282.2542277027804	0.07526853037450647	True	280.6236799235012	0.0736319753978848	280.63808264336626	0.074	True	1.6224735969655626	0.5781670304543984	-0.5748434750051999	0.0013559714344978796	1.8415524331251776	-1.8082525149392663
1.04	Type-II	available	442.98974787918	0.045271819895492525	443.3317773885179	0.045668530374506494	True	446.40103362857224	0.04455882337772255	446.4465170542217	0.044400000000000016	True	-3.4112857493922206	-0.7641751457570726	0.7700597509815524	0.0007129965177699732	1.6001242037428665	-1.5749234720757548
1.08	Type-I	available	277.9887641832347	0.0725592833557121	277.99865498121477	0.07286050537798214	True	275.04618838259876	0.07053982372875695	275.0514487217955	0.07075236670174621	True	2.94257580063595	1.0698478746205076	-1.058523285745595	0.0020194596269551557	2.86286457805803	-2.783185739383653
1.08	Type-II	available	433.01890208368206	0.044164632053403347	433.0393799492959	0.04406050537798215	True	438.1584651683899	0.04322116477623753	438.331021832808	0.04355236670174622	True	-5.139563084707845	-1.172991849588629	1.1869142570858513	0.0009434672771658145	2.182882580907494	-2.136250735713104
1.12	Type-I	available	273.2905023537055	0.07018870241125337	273.29892214418715	0.07045799822789094	True	269.9168275750915	0.06767163229718233	269.91874681252204	0.06754954097417219	True	3.3736747786140313	1.2498942021965886	-1.2344646994895057	0.0025170701140710405	3.7195350970953966	-3.5861470971822356
1.12	Type-II	available	421.29654943957604	0.04314149297304503	421.32477609115347	0.04325799822789093	True	430.0393571238435	0.04209713209434037	430.0688571338984	0.04194954097417217	True	-8.742807684267461	-2.033025010254978	2.0752146429628873	0.0010443608787046588	2.4808361680416344	-2.4207805681578507
1.16	Type-I	available	268.17285290125983	0.06787977778586407	268.1773391382422	0.06807007433362534	True	265.18745681417397	0.0650027442440286	265.1983562921528	0.06528575675457078	True	2.98539608708586	1.125768210514508	-1.1132357562624249	0.0028770335418354664	4.426018586284165	-4.23842510344017
1.16	Type-II	compressible_critical_missing	407.9216445644329	0.04219327265004532	408.0915229392965	0.04247007433362532	True											
1.2	Type-I	available	262.6651722500755	0.06563476899045288	262.6658118555659	0.06570426617520718	True	260.81308237147243	0.06252001057966909	260.8178736720404	0.0623421220343051	True	1.852089878603067	0.7101215405924927	-0.7051143715542725	0.003114758410783791	4.982018368046599	-4.745592098049219
1.2	Type-II	compressible_critical_missing	392.9425052058034	0.041310938541705686	393.2949292254768	0.041704266175207144	True											
