100.0 + 0.0im	0.051 + 0.0im	0.007209575950261414 - 0.004234262924563032im
100.0 + 0.0im	0.052 + 0.0im	0.00743384995435796 - 0.004266287602756473im
100.0 + 0.0im	0.053 + 0.0im	0.007659847795950393 - 0.0042972398036116655im
100.0 + 0.0im	0.054 + 0.0im	0.007887636621190741 - 0.00432712337025438im
100.0 + 0.0im	0.055 + 0.0im	0.008117279963872251 - 0.004355940603012979im
100.0 + 0.0im	0.056 + 0.0im	0.008348838025700217 - 0.004383692649281849im
100.0 + 0.0im	0.057 + 0.0im	0.008582367909809006 - 0.004410379875205747im
100.0 + 0.0im	0.058 + 0.0im	0.008817923835211065 - 0.004436002228273842im
100.0 + 0.0im	0.059 + 0.0im	0.009055557332971004 - 0.004460559585842779im
100.0 + 0.0im	0.06 + 0.0im	0.009295317433021866 - 0.004484052103687888im
100.0 + 0.0im	0.061 + 0.0im	0.00953725084173776 - 0.004506480557906424im
100.0 + 0.0im	0.062 + 0.0im	0.009781402116918678 - 0.0045278466860589955im
100.0 + 0.0im	0.063 + 0.0im	0.010027813842086196 - 0.004548153527609355im
100.0 + 0.0im	0.064 + 0.0im	0.010276526802578893 - 0.004567405764150402im
100.0 + 0.0im	0.065 + 0.0im	0.010527580165224065 - 0.004585610059487129im
100.0 + 0.0im	0.066 + 0.0im	0.010781011662574565 - 0.004602775399715852im
100.0 + 0.0im	0.067 + 0.0im	0.01103685778228436 - 0.004618913432934347im
100.0 + 0.0im	0.068 + 0.0im	0.011295153961496683 - 0.004634038808529264im
100.0 + 0.0im	0.069 + 0.0im	0.011555934785578016 - 0.004648169515739444im
100.0 + 0.0im	0.07 + 0.0im	0.011819234190152537 - 0.004661327221716641im
100.0 + 0.0im	0.071 + 0.0im	0.012085085664599433 - 0.004673537608944029im
100.0 + 0.0im	0.072 + 0.0im	0.012353522454977874 - 0.004684830712806804im
100.0 + 0.0im	0.073 + 0.0im	0.012624577763768255 - 0.004695241259828867im
100.0 + 0.0im	0.074 + 0.0im	0.012898284943319016 - 0.004704809007949749im
100.0 + 0.0im	0.075 + 0.0im	0.013174677679662412 - 0.004713579090122144im
100.0 + 0.0im	0.076 + 0.0im	0.013453790162778805 - 0.00472160236332985im
100.0 + 0.0im	0.077 + 0.0im	0.013735657239071386 - 0.004728935765192651im
100.0 + 0.0im	0.078 + 0.0im	0.014020314541502404 - 0.004735642681075228im
100.0 + 0.0im	0.079 + 0.0im	0.014307798592093739 - 0.004741793324403176im
100.0 + 0.0im	0.08 + 0.0im	0.01459814687145504 - 0.004747465133844744im
100.0 + 0.0im	0.081 + 0.0im	0.014891397848985521 - 0.004752743190808009im
100.0 + 0.0im	0.082 + 0.0im	0.01518759096719656 - 0.004757720661114139im
100.0 + 0.0im	0.083 + 0.0im	0.015486766572401854 - 0.004762499264582516im
100.0 + 0.0im	0.084 + 0.0im	0.015788965783508184 - 0.004767189776403567im
100.0 + 0.0im	0.085 + 0.0im	0.01609423028924968 - 0.0047719125638158635im
100.0 + 0.0im	0.086 + 0.0im	0.01640260206308774 - 0.004776798161285029im
100.0 + 0.0im	0.087 + 0.0im	0.016714122983453386 - 0.004781987886687249im
100.0 + 0.0im	0.088 + 0.0im	0.017028834344977865 - 0.004787634499929965im
100.0 + 0.0im	0.089 + 0.0im	0.017346776244793367 - 0.00479390290436607im
100.0 + 0.0im	0.09 + 0.0im	0.01766798682480502 - 0.004800970889079568im
100.0 + 0.0im	0.091 + 0.0im	0.017992501348872474 - 0.004809029907966054im
100.0 + 0.0im	0.092 + 0.0im	0.018320351090354237 - 0.004818285888061247im
100.0 + 0.0im	0.093 + 0.0im	0.018651562002187358 - 0.004828960055112063im
100.0 + 0.0im	0.094 + 0.0im	0.01898615313865086 - 0.0048412897590868085im
100.0 + 0.0im	0.095 + 0.0im	0.01932413479401439 - 0.004855529274642518im
100.0 + 0.0im	0.096 + 0.0im	0.019665506320394693 - 0.004871950542602158im
100.0 + 0.0im	0.097 + 0.0im	0.020010253584685837 - 0.004890843807005076im
100.0 + 0.0im	0.098 + 0.0im	0.02035834602348662 - 0.004912518087145064im
100.0 + 0.0im	0.099 + 0.0im	0.020709733255194332 - 0.004937301406906806im
100.0 + 0.0im	0.1 + 0.0im	0.02106434121414893 - 0.00496554068128006im
100.0 + 0.0im	0.101 + 0.0im	0.02142206778042809 - 0.004997601134907223im
100.0 + 0.0im	0.102 + 0.0im	0.021782777896357772 - 0.005033865097459137im
100.0 + 0.0im	0.103 + 0.0im	0.0221462981884302 - 0.005074729988285778im
100.0 + 0.0im	0.104 + 0.0im	0.022512411154459216 - 0.0051206052691084615im
100.0 + 0.0im	0.105 + 0.0im	0.022880849035211967 - 0.005171908111732369im
100.0 + 0.0im	0.106 + 0.0im	0.023251287571393733 - 0.0052290575049775976im
100.0 + 0.0im	0.107 + 0.0im	0.023623339952693872 - 0.005292466519237708im
100.0 + 0.0im	0.108 + 0.0im	0.02399655139915623 - 0.005362532471448014im
100.0 + 0.0im	0.109 + 0.0im	0.024370394967761364 - 0.005439624805877267im
100.0 + 0.0im	0.11 + 0.0im	0.02474426934168173 - 0.005524070644798997im
100.0 + 0.0im	0.111 + 0.0im	0.025117499505008304 - 0.00561613818944099im
100.0 + 0.0im	0.112 + 0.0im	0.0254893412976888 - 0.005716018476191981im
100.0 + 0.0im	0.113 + 0.0im	0.02585899082228657 - 0.005823806412231937im
100.0 + 0.0im	0.114 + 0.0im	0.02622559947603421 - 0.005939482491863444im
100.0 + 0.0im	0.115 + 0.0im	0.026588294945939842 - 0.006062897053366914im
100.0 + 0.0im	0.116 + 0.0im	0.026946207815156754 - 0.006193759252906657im
100.0 + 0.0im	0.117 + 0.0im	0.027298502526977683 - 0.006331632958537923im
