100.0 + 0.0im	0.051 + 0.0im	0.007209575950007034 - 0.004234262924563783im
100.0 + 0.0im	0.052 + 0.0im	0.007433849951628192 - 0.004266287603443222im
100.0 + 0.0im	0.053 + 0.0im	0.007659847795883197 - 0.004297239803663337im
100.0 + 0.0im	0.054 + 0.0im	0.00788763662053435 - 0.00432712336914341im
100.0 + 0.0im	0.055 + 0.0im	0.008117279963815817 - 0.004355940603048956im
100.0 + 0.0im	0.056 + 0.0im	0.008348838025763285 - 0.004383692649256815im
100.0 + 0.0im	0.057 + 0.0im	0.008582367909966596 - 0.004410379875498782im
100.0 + 0.0im	0.058 + 0.0im	0.008817923835225283 - 0.004436002228333438im
100.0 + 0.0im	0.059 + 0.0im	0.009055557332975049 - 0.0044605595858426186im
100.0 + 0.0im	0.06 + 0.0im	0.009295317433020707 - 0.0044840521036877004im
100.0 + 0.0im	0.061 + 0.0im	0.009537250841736011 - 0.004506480557908112im
100.0 + 0.0im	0.062 + 0.0im	0.009781402116919927 - 0.0045278466860577im
100.0 + 0.0im	0.063 + 0.0im	0.010027813842088035 - 0.004548153527605636im
100.0 + 0.0im	0.064 + 0.0im	0.010276526802579677 - 0.0045674057641504106im
100.0 + 0.0im	0.065 + 0.0im	0.010527580165216967 - 0.004585610059491864im
100.0 + 0.0im	0.066 + 0.0im	0.010781011662572886 - 0.004602775399718611im
100.0 + 0.0im	0.067 + 0.0im	0.011036857782285053 - 0.0046189134329349246im
100.0 + 0.0im	0.068 + 0.0im	0.011295153961498723 - 0.004634038808530139im
100.0 + 0.0im	0.069 + 0.0im	0.01155593478557497 - 0.004648169515740472im
100.0 + 0.0im	0.07 + 0.0im	0.011819234190152149 - 0.004661327221716439im
100.0 + 0.0im	0.071 + 0.0im	0.012085085664586478 - 0.004673537608948978im
100.0 + 0.0im	0.072 + 0.0im	0.012353522454985347 - 0.004684830712804858im
100.0 + 0.0im	0.073 + 0.0im	0.01262457776377058 - 0.004695241259827146im
100.0 + 0.0im	0.074 + 0.0im	0.012898284943318357 - 0.004704809007953561im
100.0 + 0.0im	0.075 + 0.0im	0.01317467767966498 - 0.004713579090119047im
100.0 + 0.0im	0.076 + 0.0im	0.01345379016278414 - 0.004721602363315266im
100.0 + 0.0im	0.077 + 0.0im	0.013735657239074862 - 0.004728935765190103im
100.0 + 0.0im	0.078 + 0.0im	0.014020314541501835 - 0.004735642681075473im
