model,Tw,Mr,r,Fmax,z_Fmax,Gmin,z_Gmin,Hmin,z_Hmin,Tmin,Tmax,wall_dF,wall_dG,wall_dH,wall_dT
Chapman-DH,1.5,0.3,local,0.18076567268559868,1.32,-0.999999936985672,20.0,-0.8901749701555324,6.7,1.0000047705004502,1.5,0.16944721577232622,-0.2053491488397405,-0.0010175886194735686,-0.052015530579740954
Sutherland-BDF2,1.5,0.3,20.0,0.17494192037059147,1.2,-1.0,20.0,-0.8426818034948159,6.4,1.0,1.5,0.2675517123120704,-0.4432240427828764,-0.2136454727262161,-0.11652663263921337
