T,mu_chapman,mu_sutherland,rho_mu_chapman,rho_mu_sutherland,nu_chapman,nu_sutherland,dmu_dT_chapman,dmu_dT_sutherland,rel_mu_sutherland_minus_chapman,rel_rho_mu_sutherland_minus_chapman
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7945736434108528,0.0,0.0
1.001,1.001,1.0007943881985615,1.0,0.9997945936049567,1.0020009999999997,1.00179518258676,1.0,0.7942028220287787,-0.00020540639504336672,-0.00020540639504329494
1.002,1.002,1.0015884057805913,1.0,0.9995892273259394,1.0040040000000001,1.0035915825921524,1.0,0.7938324102475226,-0.0004107726740606073,-0.00041077267406064433
1.003,1.003,1.0023820531553924,1.0,0.9993839014510394,1.0060089999999997,1.0053891993148585,1.0,0.793462407473174,-0.0006160985489605937,-0.0006160985489606086
1.004,1.004,1.0031753307316753,1.0,0.9991786162666089,1.008016,1.007188032054602,1.0,0.7930928131125192,-0.0008213837333911313,-0.0008213837333911345
1.005,1.005,1.0039682389175577,1.0,0.9989733720572714,1.0100249999999997,1.0089880801121454,1.0,0.7927236265730435,-0.0010266279427285415,-0.001026627942728564
1.006,1.006,1.0047607781205647,1.0,0.9987681691059292,1.012036,1.010789342789288,1.0,0.792354847262931,-0.0012318308940708345,-0.0012318308940707512
1.007,1.007,1.0055529487476296,1.0,0.9985630076937733,1.0140489999999998,1.0125918193888628,1.0,0.7919864745910675,-0.001436992306226737,-0.0014369923062267365
1.008,1.008,1.006344751205096,1.0,0.9983578881002937,1.016064,1.0143955092147368,1.0,0.7916185079670435,-0.0016421118997063235,-0.001642111899706311
1.009,1.009,1.0071361858987162,1.0,0.9981528106032868,1.0180809999999998,1.0162004115718046,1.0,0.7912509468011535,-0.0018471893967132484,-0.0018471893967132447
1.01,1.01,1.0079272532336547,1.0,0.997947775478866,1.0201,1.0180065257659914,1.0,0.7908837905044005,-0.00205222452113394,-0.0020522245211339607
1.011,1.011,1.0087179536144855,1.0,0.9977427830014695,1.0221209999999998,1.0198138511042447,1.0,0.7905170384884951,-0.002257216998530599,-0.0022572169985305424
1.012,1.012,1.009508287445196,1.0,0.9975378334438695,1.0241440000000002,1.0216223868945384,1.0,0.7901506901658594,-0.002462166556130505,-0.0024621665561305184
