 6.94404259012789e-005    3.33314044326150e-003
 5.00665470748221e-002    3.19425959145891e-003
 1.08465945257798e-001    6.36537237428403e-003
 1.41797349690411e-001    6.27278513974883e-003
 2.16793009663793e-001    6.06446386204507e-003
 3.25189514495689e-001    9.09669579306760e-003
 4.16920317111278e-001    1.21752213413575e-002
 5.66981077483942e-001    1.50917192292113e-002
 5.83646779700249e-001    1.50454256119437e-002
 6.50448469417279e-001    2.15265320293963e-002
 7.33846420924715e-001    2.46282043863202e-002
 8.25577223540304e-001    2.77067299346101e-002
 9.33904287946299e-001    2.74058214223714e-002
 1.00070597766333e+000    3.38869278398242e-002
 1.04243967363000e+000    3.71043342399167e-002
 1.25923268329379e+000    4.31687981019617e-002
 1.40936288409236e+000    4.94184364330770e-002
 1.52623112088421e+000    5.90938024419885e-002
 1.60969851281755e+000    6.55286152421735e-002
 1.68462473236503e+000    6.19871535212082e-002
 1.76809212429836e+000    6.84219663213934e-002
 1.89315433134657e+000    7.14079046351483e-002
 1.97662172327990e+000    7.78427174353336e-002
 2.10168393032811e+000    8.08286557490887e-002
 2.21014987558590e+000    8.71940281233723e-002
 2.25181413112667e+000    8.70782940802037e-002
 2.35180834442451e+000    8.68005323765986e-002
 2.45180255772235e+000    8.65227706729934e-002
 2.53520050922979e+000    8.96244430299171e-002
 2.62665355014177e+000    7.93704068051617e-002
 2.71831491233146e+000    7.91157919101904e-002
 2.86004282159597e+000    8.20554366066777e-002
 2.89337422602859e+000    8.19628493721427e-002
 2.98503558821827e+000    8.17082344771716e-002
 3.11002835484058e+000    8.13610323476650e-002
 3.20175915745617e+000    8.44395578959551e-002
 3.24342341299693e+000    8.43238238527861e-002
 3.36827729876743e+000    7.73103408367573e-002
 3.45979978010532e+000    7.03894450552631e-002
 3.51826861871419e+000    7.68936982813495e-002
 3.58486198715352e+000    7.33753833690181e-002
 3.65145535559285e+000    6.98570684566864e-002
 3.75144956889069e+000    6.95793067530814e-002
 3.86817892483074e+000    7.25883918754702e-002
 3.98483884034489e+000    7.22643365545974e-002
 4.11809501764944e+000    6.85608471731960e-002
 4.23461605231179e+000    6.15705109658005e-002
 4.39294022336670e+000    6.11307216017591e-002
 4.50946125802905e+000    5.41403853943636e-002
 4.63445402465135e+000    5.37931832648575e-002
 4.72618482726694e+000    5.68717088131474e-002
 4.81770730860483e+000    4.99508130316533e-002
 4.95117180718708e+000    5.62467449800357e-002
 5.09269139517389e+000    4.91869683467392e-002
 5.18435275736358e+000    4.89323534517678e-002
 5.30101267287773e+000    4.86082981308953e-002
 5.39267403506742e+000    4.83536832359239e-002
 5.50912562930386e+000    3.80302065852671e-002
 5.65932527052833e+000    4.76129853596436e-002
 5.72577975811585e+000    3.74283895607892e-002
