6.94404259012789e-005    3.33314044326150e-003
 2.50679937503617e-002    3.26370001736009e-003
 8.36757132110410e-002    1.64342341299693e-002
 1.25478849603611e-001    2.29847809733235e-002
 1.42213992245819e-001    2.62716277993171e-002
 1.58949134888027e-001    2.95584746253110e-002
 2.00821711706498e-001    3.94421619119265e-002
 2.26028586308663e-001    4.93721428158094e-002
 2.76303454661189e-001    6.25658237370523e-002
 3.51437995486372e-001    6.90237833458713e-002
 4.26711417163359e-001    8.21480238412129e-002
 4.76986285515885e-001    9.53417047624558e-002
 5.26983392164805e-001    9.52028239106533e-002
 5.77327700943232e-001    1.11729645275158e-001
 6.35727099126208e-001    1.14900758057983e-001
 6.69058503558822e-001    1.14808170823448e-001
 7.10792199525490e-001    1.18025577223540e-001
 7.77663329668422e-001    1.27839824084254e-001
 8.27729876743244e-001    1.31034083675713e-001
 9.02725536716625e-001    1.30825762398009e-001
 9.86054047798160e-001    1.30594294311672e-001
 1.06104970777154e+000    1.30385973033968e-001
 1.11097737399456e+000    1.26913951738904e-001
 1.16090504021758e+000    1.23441930443840e-001
 1.26076037266362e+000    1.16497887853712e-001
 1.30235518777849e+000    1.13049013367282e-001
 1.39387766911637e+000    1.06128117585788e-001
 1.46012383542619e+000    8.59441004571495e-002
 1.52657832301371e+000    7.57595046582953e-002
 1.60969851281755e+000    6.55286152421735e-002
 1.68441641108732e+000    5.19877321914242e-002
 1.72580290492448e+000    3.85394363752098e-002
 1.75899542850529e+000    3.17805682541519e-002
 1.84204617788322e+000    1.82165383947688e-002
 1.90857010589665e+000    1.13650830391760e-002
 1.94183206990336e+000    7.93935536137935e-003
 1.98328800416643e+000   -2.17580001157347e-003
 2.09980903882877e+000   -9.16613621896878e-003
 2.17452693709855e+000   -2.27070192697181e-002
 2.24091198426017e+000   -3.62247555118338e-002
 2.32424049534170e+000   -3.64562235981714e-002
 2.43242867889590e+000   -4.34234129969331e-002
 2.54075574330189e+000   -4.37243215091720e-002
 2.57408714773451e+000   -4.38169087437068e-002
 2.59908570105897e+000   -4.38863491696082e-002
 2.69074706324865e+000   -4.41409640645796e-002
 2.74074416989758e+000   -4.42798449163821e-002
 2.85726520455992e+000   -5.12701811237777e-002
 2.94906544760141e+000   -4.48585151322263e-002
 3.04093513106880e+000   -3.51137086974134e-002
 3.12426364215034e+000   -3.53451767837509e-002
 3.18266304033331e+000   -3.21740640009258e-002
 3.29953127712517e+000   -2.24986979920143e-002
 3.37452693709855e+000   -2.27070192697181e-002
 3.40792778195706e+000   -1.94664660609918e-002
 3.49979746542445e+000   -9.72165962617910e-003
 3.54153116139112e+000   -6.50425322608639e-003
 3.63319252358081e+000   -6.75886812105775e-003
 3.74999131994676e+000   -4.16642555407520e-004
 3.81665412881199e+000   -6.01817024477702e-004
 3.89998263989352e+000   -8.33285110815263e-004
 3.97511718071871e+000    5.62467449800375e-003
 4.07511139401655e+000    5.34691279439858e-003
 4.20010416063885e+000    4.99971066489202e-003
 4.26676696950408e+000    4.81453619582206e-003
 4.32502748683525e+000    1.31936809212418e-003
 4.46668595567386e+000    9.25872345350465e-004
 4.57508246050576e+000    3.95810427637300e-003
 4.69174237601991e+000    3.63404895550024e-003
 4.74173948266883e+000    3.49516810369765e-003
 4.80840229153405e+000    3.30999363462769e-003
 4.87506510039928e+000    3.12481916555751e-003
 4.95853249233262e+000    9.55963196574272e-003
 5.05019385452231e+000    9.30501707077136e-003
 5.14178577628609e+000    5.71726173253850e-003
 5.28330536427290e+000   -1.34251490075799e-003
 5.38323013714484e+000   -4.95341704762442e-003
 5.51662519530120e+000   -1.99062554250329e-003
 5.64168740234940e+000    9.95312771251644e-004
 5.71668306232278e+000    7.86991493547884e-004
